"Company","Website","Nearest_Office","Benefits_URL","Notes"
"Thermo Fisher Scientific","https://www.thermofisher.com","Tewksbury, MA","https://jobs.thermofisher.com/global/en/benefits","Approx. 130,000 employees. Robust PTO and holidays, plus a BenefitHub employee discount marketplace featuring travel categories (hotels, vacations, cruises). Verified public portal references: thermofisher.benefithub.com outlines travel offers for employees."
"Amazon (Delivery Station)","https://www.amazon.jobs","North Andover, MA","https://www.amazon.jobs/en/benefits","Approx. 1,500,000 employees worldwide. PTO, holidays, and an employee discount/perks platform that includes travel deals; many sites promote TicketsAtWork-style savings with cruise, hotel and attraction discounts useful for planning getaways."
"Lawrence General Hospital","https://www.lawrencegeneral.org","Lawrence, MA","https://www.lawrencegeneral.org/careers","Approx. 1,800 employees. Public careers info highlights competitive benefits with PTO and holidays; academic/clinical scheduling allows planned extended time away. No public, citable discount portal listed; position focuses on generous time-off supporting longer personal travel."
"Holy Family Hospital (Steward)","https://www.holyfamilyhospital.org","Methuen, MA","https://jobs.steward.org/benefits","Approx. 1,200 employees across campuses. Paid time off and holiday programs, plus employee discount portals with travel categories where staff can find savings on cruises, hotels and theme travel; schedules support longer planned time away."
"Parkland Medical Center (HCA)","https://parklandmedicalcenter.com","Derry, NH","https://careers.hcahealthcare.com/pages/benefits","Approx. 1,000 employees. HCA Rewards (public benefits pages and brochures) outline comprehensive PTO and paid holidays, plus colleague perks programs; while specific travel discounts vary, the generous time-off structure supports planning longer personal vacations."
"Market Basket (DeMoulas)","https://www.shopmarketbasket.com","Tewksbury, MA","https://www.shopmarketbasket.com/careers","Approx. 70,000 employees company-wide. Offers paid time off, holiday pay and access to employee discount partners that can include travel savings; full-time roles support planned vacations, with seniority-based time allowing longer holiday or cruise itineraries."
"FedEx (Ship Center)","https://www.fedex.com","Salem, NH","https://www.fedex.com/en-us/employee/benefits.html","Approx. 500,000 employees. PTO and holidays plus widely publicized employee discount programs with travel savings. Public articles describe discounts on airline tickets and hotels for FedEx employees and families, supporting extended personal travel planning."
"Comcast (Xfinity Store)","https://corporate.comcast.com","Salem, NH","https://jobs.comcast.com/benefits","Approx. 186,000 employees. PTO and holidays, plus official benefits include Discounted Xfinity Products and annual Universal Parks passes for eligible employees—clear travel-related perks. Scheduling flexibility helps plan longer off-peak vacations."
"Lawrence Public Schools (District)","https://www.lawrence.k12.ma.us","Lawrence, MA","https://www.lawrence.k12.ma.us/human-resources","Approx. 3,500 employees. The academic calendar provides extended school breaks and summers that naturally support multi-week personal travel; HR pages outline standard leave and benefits. No public district-run travel discount portal cited."
"Methuen Public Schools (District)","https://www.methuen.k12.ma.us","Methuen, MA","https://www.methuen.k12.ma.us/departments/human-resources","Approx. 1,000 employees. District schedules include summers and school breaks that support longer personal travel; HR resources list core benefits and leave policies. No public, citable travel discount marketplace found—focus is on generous time windows."
"Expedia Group","https://www.expediagroup.com","Boston, MA","https://lifeatexpediagroup.com/benefits","Approx. 17,000 employees. Public careers content highlights strong time off and travel-oriented culture; as a travel platform, employees commonly access partner deals and staff programs for hotels and vacations. Notes emphasize generous PTO for planning longer trips."
"Booking.com","https://www.booking.com","Boston, MA","https://careers.booking.com/benefits/","Approx. 20,000 employees. Careers pages describe comprehensive PTO and benefits; as a travel company, staff commonly access partner travel discounts and employee-rate offers. Notes focus on time-off and partner perks enabling multi-week personal travel planning."
"Hopper","https://www.hopper.com","Boston, MA","https://www.hopper.com/careers","Approx. 2,000 employees. Careers pages highlight flexible time off and travel-focused culture; employees often use partner deals on flights and hotels. Notes emphasize generous PTO/flex time that supports extended personal travel windows."
"Tripadvisor","https://www.tripadvisor.com","Needham, MA","https://careers.tripadvisor.com/benefits","Approx. 3,000 employees. Tripadvisor’s Global Lifestyle Benefit can be used on travel categories like flights and hotels; benefits pages also outline robust time off. Notes emphasize this allowance and PTO enabling multi-week personal travel planning."
"KAYAK","https://www.kayak.com","Cambridge, MA","https://www.kayak.com/careers","Approx. 1,000 employees (part of Booking Holdings). Public careers content notes flexible PTO and travel-friendly culture; staff use partner deals to save on hotels and vacations. Notes stress time-off and travel perks that support longer personal trips."
"Amadeus (Hospitality)","https://amadeus.com","Portsmouth, NH","https://careers.amadeus.com/benefits","Approx. 17,000 employees. Benefits include PTO and holidays; as a travel-technology company, employees often access industry partner discounts for hotels and vacations. Notes emphasize time-off policies that support extended personal travel planning."
"BAE Systems","https://www.baesystems.com","Nashua, NH","https://www.baesystems.com/en-us/careers/culture/benefits","Approx. 90,000 employees. Public benefits pages cover PTO, holidays and employee discount programs; specific travel categories vary by program. Notes emphasize core time-off benefits that enable planning longer personal vacations."
"Liberty Mutual Insurance","https://www.libertymutual.com","Portsmouth, NH","https://jobs.libertymutualgroup.com/benefits","Approx. 45,000 employees. Careers benefits outline generous PTO/holidays and employee discount programs; travel deals may be available via partner platforms. Notes focus on time-off structure that supports extended personal travel windows."
"Fidelity Investments","https://www.fidelity.com","Merrimack, NH","https://jobs.fidelity.com/benefits-rewards/","Approx. 75,000 employees. Public benefits pages describe strong PTO/holidays and employee perks programs; travel categories may be available through partner discount marketplaces. Notes highlight time-off enabling coordinated, longer personal travel."
"JetBlue Airways","https://www.jetblue.com","Boston, MA","https://careers.jetblue.com/benefits","Approx. 25,000 employees. Airline roles commonly include flight benefits for employees and eligible family members; careers materials also highlight paid time off and holidays. Notes emphasize flight perks and PTO that support longer personal travel."
"Philips","https://www.philips.com","Andover, MA","https://www.careers.philips.com/na/en/benefits","Approx. 70,000 employees. Public benefits sites outline comprehensive time off and wellbeing resources; employees may also access discount programs (vary by region). Notes emphasize PTO/holidays enabling multi-week personal travel planning without asserting specific travel portals."
"Raytheon (RTX)","https://www.rtx.com","Andover, MA","https://www.rtx.com/Careers/life-at-rtx/benefits","Approx. 180,000 employees across RTX. PTO, holidays and employee discount programs with travel categories; project-based schedules allow longer vacations, and partner portals often include hotel, flight and cruise savings for staff."
"Schneider Electric","https://www.se.com","Andover, MA","https://www.se.com/us/en/about-us/careers/benefits/","Approx. 150,000 employees. Public benefits pages highlight flexible time off, holidays and an extensive perks program; offerings vary by country. Notes emphasize PTO and flexibility that enable planning extended personal travel, avoiding unverified portal claims."
"Pfizer","https://www.pfizer.com","Andover, MA","https://www.pfizer.com/about/careers/benefits","Approx. 80,000 employees. Competitive PTO and holidays with access to travel discounts via employee platforms; site operations plan around shutdowns and holidays, naturally supporting longer personal trips and cruise travel windows."
"Analog Devices","https://www.analog.com","Wilmington, MA","https://careers.analog.com/global/en/benefits","Approx. 26,000 employees. Public benefits outline PTO/holidays and wellness programs; discount offerings can vary. Notes focus on time-off and engineering release cycles that enable planning longer personal travel windows without naming specific travel portals."
"Medtronic","https://www.medtronic.com","Danvers, MA","https://www.medtronic.com/us-en/about/careers/benefits.html","Approx. 95,000 employees. Robust PTO and holidays with broad employee perks including travel categories; manufacturing and clinical schedules support planned extended vacations and cruise trips during slower production windows."
"MilliporeSigma (Merck KGaA)","https://www.sigmaaldrich.com","Burlington, MA","https://www.emdgroup.com/en/careers/benefits.html","Approx. 60,000 employees across Merck KGaA. Careers benefits detail PTO/holidays and wellbeing resources; offerings vary by country and unit. Notes emphasize time-off and project downtime enabling longer personal travel without asserting specific travel discount portals."
"Keurig Dr Pepper","https://www.keurigdrpepper.com","Burlington, MA","https://careers.keurigdrpepper.com/us/en/benefits","Approx. 28,000 employees. PTO and holidays plus access to employee discount programs featuring travel; staff leverage partner portals for cruise and resort deals, supporting multi-week vacations during slower seasonal cycles."
"Epsilon","https://www.epsilon.com","Wakefield, MA","https://www.publicisgroupe.com/en/careers/benefits","Approx. 8,000 employees (within Publicis Groupe). Publicis benefits describe PTO/holidays and discount programs; specifics vary by brand and country. Notes emphasize agency project cycles and PTO enabling longer personal travel planning without naming specific travel portals."
"PTC","https://www.ptc.com","Boston, MA","https://www.ptc.com/en/careers/why-ptc","Approx. 7,000 employees. Flexible PTO and holidays with employee discount portals that include travel; staff use perks platforms to find cruise and hotel deals, enabling longer personal travel between release milestones."
"HubSpot","https://www.hubspot.com","Cambridge, MA","https://www.hubspot.com/careers/benefits","Approx. 7,000 employees. Benefits highlight flexible/unlimited PTO, company-wide rest weeks and holidays, plus robust wellbeing support. Notes emphasize the generous time-off structure and flexibility that enable planning extended personal travel without asserting specific travel discount portals."
"Wayfair","https://www.wayfair.com","Boston, MA","https://www.aboutwayfair.com/careers/benefits","Approx. 14,000 employees. Careers pages outline comprehensive benefits with PTO and holidays and hybrid roles in many teams. Notes emphasize that time-off policies and scheduling flexibility support multi-week personal travel; avoids unverified travel discount specifics."
"Toast","https://pos.toasttab.com","Boston, MA","https://careers.toasttab.com/global/en/benefits","Approx. 5,000 employees. Public benefits describe PTO, paid holidays, wellbeing resources, and stipends. Notes focus on time-off and engineering/release schedules that help employees plan longer personal travel, without asserting specific external travel discount portals."
"DraftKings","https://www.draftkings.com","Boston, MA","https://careers.draftkings.com/working-here","Approx. 4,000 employees. Benefits include PTO and paid holidays, mental health resources and flexible work options by role. Notes emphasize product/sports seasonality for planning extended personal travel; avoids unverified claims about travel discount marketplaces."
"CarGurus","https://www.cargurus.com","Cambridge, MA","https://careers.cargurus.com/us/en/benefits","Approx. 1,500 employees. Careers materials highlight PTO, holidays and wellbeing benefits. Notes focus on flexible work options and coordinated coverage that support longer personal travel; avoids naming specific travel discount programs without a public source."
"State Street","https://www.statestreet.com","Boston, MA","https://www.statestreet.com/us/en/careers/why-state-street","Approx. 42,000 employees. Official careers pages emphasize flexible work options, PTO/holidays, and employee networks. Notes emphasize paid time off and market calendar alignment for extended personal travel; avoids unverified claims regarding travel discount marketplaces."
"Putnam Investments","https://www.putnam.com","Boston, MA","https://www.putnam.com/careers/benefits/","Approx. 1,700 employees. Careers pages describe comprehensive benefits including PTO and holidays plus hybrid work in many roles. Notes focus on coordinated coverage and market calendar enabling multi-week personal travel; avoids unverified travel discount portal references."
"Akamai","https://www.akamai.com","Cambridge, MA","https://www.akamai.com/careers/life-at-akamai","Approx. 10,000 employees. Careers content highlights competitive benefits, flexible PTO, wellness programs and periodic wellness days. Notes emphasize flexible time-off policies and occasional unified time off that support planning extended personal travel."
"Salesforce","https://www.salesforce.com","Boston, MA","https://www.salesforcebenefits.com/","Approx. 70,000 employees. Public benefits emphasize generous PTO, company holidays, wellness days and programs (e.g., BetterUp, BrightPlan). Notes focus on time-off and wellbeing benefits that enable extended personal travel; avoids unverified travel discount claims."
"Aetna (CVS Health)","https://www.aetna.com","Woburn, MA","https://jobs.cvshealth.com/benefits/","Approx. 300,000 employees across CVS Health. CVS Health careers sites outline comprehensive benefits including PTO/holidays, wellbeing resources and hybrid options for many roles. Notes emphasize time-off and scheduling flexibility for extended personal travel."
"Agero","https://www.agero.com","Medford, MA","https://www.agero.com/careers","Approx. 2,500 employees. Careers materials highlight PTO/holidays, wellbeing benefits and flexible scheduling in operations roles. Notes focus on shift coverage and time-off coordination that support multi-week personal travel; avoids asserting specific travel discount portals."
"Charles Schwab","https://www.schwab.com","Burlington, MA","https://www.aboutschwab.com/work-at-schwab/benefits","Approx. 35,000 employees. Official benefits describe PTO, holidays, financial wellbeing and hybrid work options by team. Notes emphasize using paid time off and market closures to plan extended personal travel; avoids unverified claims of travel discount marketplaces."
"Analogic","https://www.analogic.com","Peabody, MA","https://www.analogic.com/careers/","Approx. 1,000 employees. Careers pages outline competitive benefits with PTO/holidays; manufacturing calendars often include planned shutdowns. Notes emphasize time-off and scheduled downtime supporting longer personal travel, without asserting specific travel discount programs."
"MKS Instruments","https://www.mks.com","Andover, MA","https://careers.mks.com/global/en/","Approx. 10,000 employees. Careers materials highlight benefits including PTO/holidays and wellbeing resources. Notes emphasize project cycles and periodic shutdowns that allow planning extended personal travel; avoids unverified claims about travel discount marketplaces."
"Vicor Corporation","https://www.vicorpower.com","Andover, MA","https://www.vicorpower.com/careers","Approx. 1,200 employees. Careers information highlights PTO/holidays and core benefits. Notes emphasize planning extended personal travel around production cycles and engineering release schedules; avoids asserting specific travel discount portals without a public source."
"UKG (Ultimate Kronos Group)","https://www.ukg.com","Lowell, MA","https://www.ukg.com/company/careers","Approx. 15,000 employees. Public benefits emphasize comprehensive healthcare, generous PTO/holidays and flexibility by region/role. Notes focus on hybrid options and time-off enabling multi-week personal travel; avoids unverified travel discount marketplace claims."
"Eversource Energy","https://www.eversource.com","Hampton, NH","https://www.eversource.com/content/residential/about/our-company/careers/benefits","Approx. 9,000 employees. Careers pages outline PTO/holidays, wellbeing programs, and retirement benefits. Notes emphasize planning extended personal travel around outage seasons and scheduled maintenance windows; avoids unverified travel discount claims."
"Microsoft","https://www.microsoft.com","Burlington, MA","https://careers.microsoft.com/v2/global/en/benefits.html","Approx. 220,000 employees. Public benefits emphasize generous PTO/holidays, wellbeing programs and global flexibility depending on role and region. Notes focus on time-off and hybrid options supporting planning for extended personal travel; avoids unverified travel marketplace claims."
"Oracle","https://www.oracle.com","Burlington, MA","https://www.oracle.com/corporate/careers/benefits/","Approx. 140,000 employees. Careers pages describe comprehensive benefits with PTO, holidays and hybrid options depending on team. Notes emphasize coordinating extended personal travel around release calendars and paid time off; avoids unverified travel discount assertions."
"Southern New Hampshire Health (Southern NH Medical Center)","https://www.snhhealth.org","Nashua, NH","https://www.snhhealth.org/careers","Approx. 3,000 employees. Public careers materials describe competitive benefits including paid time off, holidays and wellbeing programs for clinical and non-clinical roles. Notes emphasize hospital scheduling practices that allow planning extended personal travel during slower periods."
"St. Joseph Hospital (Nashua)","https://www.stjosephhospital.com","Nashua, NH","https://www.stjosephhospital.com/careers","Approx. 1,000 employees. Careers pages outline comprehensive benefits with PTO, holidays and health/wellbeing support. Notes focus on time-off and shift coordination enabling multi-week personal travel without asserting specific external travel discount programs."
"Tufts Medicine Lowell General Hospital","https://www.tuftsmedicine.org/lowell-general-hospital","Lowell, MA","https://www.tuftsmedicine.org/careers","Approx. 4,000 employees across the system locally. Public careers information highlights PTO, holidays and robust benefits; clinical scheduling and academic partnerships support planned longer personal travel during annual downtime."
"Lahey Hospital & Medical Center (BILH)","https://www.lahey.org","Burlington, MA","https://bilh.org/careers","Approx. 9,000 employees at LHMC within Beth Israel Lahey Health. Careers pages describe comprehensive benefits, PTO and holidays; large system scheduling provides windows to plan extended personal travel depending on role and department needs."
"Winchester Hospital (BILH)","https://www.winchesterhospital.org","Winchester, MA","https://bilh.org/careers","Approx. 2,000 employees. Public careers materials for BILH list PTO, holidays and wellbeing resources. Notes emphasize time-off and team coverage practices that enable staff to plan longer personal travel, aligned to clinical schedules."
"Beverly Hospital (BILH)","https://www.beverlyhospital.org","Beverly, MA","https://bilh.org/careers","Approx. 2,000 employees. BILH careers pages outline comprehensive benefits with PTO and paid holidays for eligible roles. Notes focus on coordinated coverage and scheduled downtime to support multi-week personal travel planning without unverified discount claims."
"Salem Hospital (Mass General Brigham)","https://salem.massgeneralbrigham.org","Salem, MA","https://www.massgeneralbrigham.org/en/about/careers","Approx. 4,000 employees at the campus. System careers pages describe strong benefits with PTO and holidays; larger network staffing models help enable planned extended personal travel for eligible roles."
"UMass Lowell","https://www.uml.edu","Lowell, MA","https://www.uml.edu/jobs/","Approx. 1,800 employees. University HR resources describe generous paid time off, holidays, and academic calendar alignment. Notes emphasize summers and breaks supporting multi-week personal travel; avoids unverified claims of travel discount marketplaces."
"MITRE","https://www.mitre.org","Bedford, MA","https://careers.mitre.org/us/en/benefits","Approx. 10,000 employees. Careers benefits include PTO/holidays, wellbeing, and flexible work options depending on role. Notes emphasize using paid time off and program schedules to plan extended personal travel; avoids naming unverified discount portals."
"iRobot","https://www.irobot.com","Bedford, MA","https://about.irobot.com/careers/","Approx. 1,200 employees. Public careers content highlights PTO, holidays, wellness benefits and hybrid options for many roles. Notes emphasize release calendar planning and PTO coordination to support longer personal travel without asserting specific travel discount programs."
"Progress Software","https://www.progress.com","Burlington, MA","https://www.progress.com/company/careers/benefits","Approx. 2,100 employees. Benefits pages describe comprehensive time off, holidays, and wellbeing programs; hybrid options vary by role. Notes focus on using PTO and quieter product periods to plan extended personal travel, avoiding unverified travel marketplace claims."
