"CNUM","Company","Parent/Owner","Strategy","Primary Markets","Homes Owned/Managed (approx.)","Website","Source URL","Description","Contact Phone","Difficulty & Openness (1-5)","Notes"
"CNUM-SFRBUY-AUG25-1","Invitation Homes","Public REIT (NYSE: INVH)","Acquire, own, and operate single-family rental homes at scale","Sun Belt, West, Southeast major metros","Largest U.S. SFR REIT (tens of thousands of homes)","https://www.invitationhomes.com/","https://www.invitationhomes.com/offices","Largest U.S. single-family rental (SFR) REIT focused on high-growth job-rich markets; institutional acquirer and operator of scattered-site SFR portfolios.","(800) 339-7368 (corporate)","4 – Centralized intake; selective on partnerships and acquisitions","Invitation Homes is a scaled, publicly traded SFR operator focused on quality suburban neighborhoods in growth markets. The company acquires, renovates, and professionally manages scattered-site homes with resident-first services and disciplined buy-box criteria that emphasize school zones and yield."
"CNUM-SFRBUY-AUG25-2","AMH (American Homes 4 Rent)","Public REIT (NYSE: AMH)","Integrated SFR owner, operator, and developer (including build-to-rent)","Sun Belt and high-growth U.S. metros","~59,000 homes (recent investor disclosures)","https://www.amh.com/","https://www.amh.com/contact","Large-scale SFR REIT acquiring and developing single-family rentals; among the top institutional buyers/operators in the U.S.","N/A (contact via website form)","4 – Large REIT; engagement typically via formal channels; selective with small partners","AMH is a national SFR owner-operator and BTR developer. It acquires and builds rental homes at scale, then leases and manages them in-house. Public disclosures outline strict market and underwriting standards; inquiries route through its contact portal and local offices by metro."
"CNUM-SFRBUY-AUG25-3","Tricon Residential","Being taken private by Blackstone (2024/2025)","SFR owner-operator concentrated in U.S. Sun Belt","U.S. Sun Belt across ~20+ markets","35,000+ SFR homes (company disclosures)","https://triconresidential.com/","https://triconresidential.com/welcome-to-tricon/","Institutional SFR platform with tens of thousands of U.S. homes; active acquirer and operator in high-growth markets.","(844) 874-2661","3 – Accessible resident line; business development via corporate channels","Tricon acquires and operates scattered-site rentals across Sun Belt metros, with a focus on resident experience and operating efficiency. The platform pursues stabilized homes and portfolios that meet defined buy-box ranges; corporate channels coordinate acquisitions engagement and underwriting."
"CNUM-SFRBUY-AUG25-6","Amherst Residential / Main Street Renewal","Amherst Group","Acquire, renovate, lease, and manage SFR; integrated platform via Main Street Renewal","32+ rental markets nationwide","Thousands of homes across U.S. markets","https://www.amherst.com/","https://www.msrenewal.com/contact","Institutional SFR buyer/manager; Main Street Renewal serves as in-house property manager operating across dozens of markets.","(855) 239-4530","2 – Provides acquisitions desk email; comparatively approachable for small portfolios","Amherst’s SFR platform purchases and operates scattered-site homes at scale, with MSR providing day-to-day property management in covered metros. Acquisitions activity is cyclical and criteria-driven; corporate contact channels route inquiries to appropriate market teams."
"CNUM-SFRBUY-AUG25-7","FirstKey Homes","Cerberus Capital Management","Institutional SFR acquisition and property management","South, Midwest, West","~10k+ historically disclosed; large national presence","https://www.firstkeyhomes.com/","https://support.firstkeyhomes.com/hc/en-us/articles/23688530153755-FirstKey-Homes-Contacts-and-Resident-Resources","Cerberus-formed SFR platform acquiring and operating scattered-site homes across multiple U.S. regions.","(844) 395-3959","3 – Central support line; partnerships typically via corporate development","FirstKey operates a large scattered-site rental portfolio across several regions. Public resources centralize resident services; corporate development channels vet acquisition opportunities that align with market, vintage, and yield criteria."
"CNUM-SFRBUY-AUG25-8","VineBrook Homes Trust","NexPoint affiliate (managed by NexPoint Real Estate Advisors)","Acquire, renovate, and lease affordable-class SFR at scale","Midwest, Heartland, Sun Belt","Large private REIT portfolio (tens of thousands, growing)","https://www.vinebrookhomes.com/","https://vinebrookhomes.com/contact/","NexPoint-managed SFR platform focused on workforce SFR homes; active buyer of large portfolios and scattered-site homes.","(855) 513-5678 (emergency maintenance)","4 – Limited direct BD visibility; use investor/vendor channels for partnerships","VineBrook targets affordable, workforce-oriented single-family homes in Heartland markets, using scale operations and standardized renovations. Partnership routes are limited publicly; investor or vendor channels are typical for bringing qualified acquisitions opportunities to the platform."
"CNUM-SFRBUY-AUG25-9","Front Yard Residential (incl. HavenBrook Homes)","Taken private by Pretium & Ares (2021)","Institutional SFR ownership and operations (HavenBrook brand)","Southeast, Midwest, and other U.S. markets","Large national SFR portfolio pre- and post-transaction","https://www.frontyardresidential.com/","https://www.havenbrookhomes.com/","Front Yard was acquired by Pretium and Ares; the platform (incl. HavenBrook Homes) operates significant SFR holdings and continues institutional strategies.","(855) 400-4424 (HavenBrook)","4 – Contact routes primarily resident-focused; corporate partnership routes limited publicly","Following its take-private transaction, Front Yard’s footprint and operations are reflected through HavenBrook and Pretium channels. Public-facing contact is resident-centric; corporate routes exist but are not broadly listed, so acquisitions engagement typically occurs via sponsor relationships."
"CNUM-SFRBUY-AUG25-10","RESICAP / ResiHome","Private SFR platform","Institutional SFR acquisitions, renovations, and property management (including for third parties)","Nationwide operating footprint","Managed/leased 30k+ homes historically (platform scale)","https://resicap.com/","https://resihome.com/contact","Vertically integrated SFR platform that sources and acquires homes for investors and manages them at scale via ResiHome and related services.","(866) 500-7064","2 – Active acquisitions/property management provider; open to smaller partners depending on market","RESICAP provides acquisitions, renovation, and property management solutions for institutional owners and investors, with ResiHome as its leasing/PM arm. The platform runs market-specific buy boxes and partners programmatically on SFR portfolios and stabilized singles. Public contact is via ResiHome."
    11→"CNUM-SFRBUY-AUG25-11","Bridge Homes (Bridge Investment Group)","Bridge Investment Group","SFR acquisition and operations; programmatic and JV-driven","Sun Belt and growth markets","Mid-sized SFR portfolio across multiple metros","https://www.bridgeig.com/residential","https://www.bridgeig.com/contact/","Bridge’s residential vertical pursuing SFR and BTR strategies via operating platforms.","(801) 716-4500 (Bridge IG HQ)","3 – Institutional processes; some BD visibility via corporate contact","Bridge Investment Group is a global real estate investment manager with a dedicated SFR platform. The company acquires and operates single-family rentals across the Sun Belt and growth markets, with a focus on programmatic and JV-driven strategies."
    12→"CNUM-SFRBUY-AUG25-12","Maymont Homes (formerly Conrex)","Brookfield-backed platform","Owns/operates scattered-site SFR; acquisitions across many metros","South, Midwest, Sun Belt",">10k homes across ~25 markets (public references)","https://maymonthomes.com/","https://maymonthomes.com/contact/","Scaled SFR owner-operator formerly known as Conrex; active buyer/operator across numerous MSAs.","(855) 466-6268 (Maymont Homes)","3 – Resident-first intake; partnerships via corporate channels","Maymont Homes is a Brookfield-backed SFR platform that owns and operates scattered-site single-family rentals across multiple markets. The company is an active buyer of SFR homes and portfolios, with a focus on resident-first services and property management."
