"zip","neighborhood","city","county","state","county_fips","serious_delinquency_rate_90dpd","delinquency_data_month","avg_30yr_fixed_rate","avg_15yr_fixed_rate","rates_date","sources","notes"
"02108","Beacon Hill","Boston","Suffolk County","MA","25025","0.4%","2024-12","6.877%","5.884%","2025-08-21","CFPB Mortgage Performance Trends (County 90+ Days Late, thru 2024-12); NerdWallet Boston mortgage rates page (08/21/2025); MANewListings Boston Zip Code Map","Rates reflect MA averages as of 2025-08-21; serious delinquency is Suffolk County 90+ dpd used as ZIP proxy. Beacon Hill includes historic housing; lender pricing can vary by points, LTV, and credit."
"02116","Back Bay","Boston","Suffolk County","MA","25025","0.4%","2024-12","6.877%","5.884%","2025-08-21","CFPB Mortgage Performance Trends (County 90+ Days Late, thru 2024-12); NerdWallet Boston mortgage rates page (08/21/2025); MANewListings Boston Zip Code Map","Back Bay averages use county delinquency as a proxy; condo-heavy stock may see rate add-ons for non-warrantable buildings. Interpret rates as benchmarks; actual quotes depend on points and lock term."
"02118","South End","Boston","Suffolk County","MA","25025","0.4%","2024-12","6.877%","5.884%","2025-08-21","CFPB Mortgage Performance Trends (County 90+ Days Late, thru 2024-12); NerdWallet Boston mortgage rates page (08/21/2025); MANewListings Boston Zip Code Map","South End features mixed-use blocks and brownstones; defaults proxied by county series. Rate levels assume prime borrower scenarios; jumbo or investor loans may price above these benchmarks."
"02113","North End","Boston","Suffolk County","MA","25025","0.4%","2024-12","6.877%","5.884%","2025-08-21","CFPB Mortgage Performance Trends (County 90+ Days Late, thru 2024-12); NerdWallet Boston mortgage rates page (08/21/2025); MANewListings Boston Zip Code Map","Historic North End with dense multifamily mix; tourist adjacency may influence turnover. County delinquency proxy applied; compare submarket comps when modeling risk and expected time-on-market."
"02114","West End","Boston","Suffolk County","MA","25025","0.4%","2024-12","6.877%","5.884%","2025-08-21","CFPB Mortgage Performance Trends (County 90+ Days Late, thru 2024-12); NerdWallet Boston mortgage rates page (08/21/2025); MANewListings Boston Zip Code Map","Near MGH and government centers; borrower base skews professional. Using county 90+ dpd as ZIP proxy; note HOA fees and assessments can affect DTI and lender pricing outcomes materially."
"02129","Charlestown","Boston","Suffolk County","MA","25025","0.4%","2024-12","6.877%","5.884%","2025-08-21","CFPB Mortgage Performance Trends (County 90+ Days Late, thru 2024-12); NerdWallet Boston mortgage rates page (08/21/2025); MANewListings Boston Zip Code Map","Historic housing with SFH and condo mix; bridge proximity influences micro-values. Defaults use Suffolk County proxy; lender overlays on condo projects may impact rate locks and approvals."
"02128","East Boston","Boston","Suffolk County","MA","25025","0.4%","2024-12","6.877%","5.884%","2025-08-21","CFPB Mortgage Performance Trends (County 90+ Days Late, thru 2024-12); NerdWallet Boston mortgage rates page (08/21/2025); MANewListings Boston Zip Code Map","Logan-adjacent submarkets and waterfront condos see heterogeneous pricing. County delinquency proxy applied; consider loan-level pricing adjustments for occupancy and second-home use."
"02127","South Boston","Boston","Suffolk County","MA","25025","0.4%","2024-12","6.877%","5.884%","2025-08-21","CFPB Mortgage Performance Trends (County 90+ Days Late, thru 2024-12); NerdWallet Boston mortgage rates page (08/21/2025); MANewListings Boston Zip Code Map","Rapid redevelopment and condo inventory growth; HOA stability and litigation can affect underwriting. Defaults proxied at county level; compare 12-month trend to assess momentum risk."
"02210","Seaport District","Boston","Suffolk County","MA","25025","0.4%","2024-12","6.877%","5.884%","2025-08-21","CFPB Mortgage Performance Trends (County 90+ Days Late, thru 2024-12); NerdWallet Boston mortgage rates page (08/21/2025); MANewListings Boston Zip Code Map","Newer condo towers with amenity premiums; investor share can influence pricing tiers. Using Suffolk County delinquency as proxy; track absorption and concessions for forward-looking risk."
"02215","Fenway/Kenmore","Boston","Suffolk County","MA","25025","0.4%","2024-12","6.877%","5.884%","2025-08-21","CFPB Mortgage Performance Trends (County 90+ Days Late, thru 2024-12); NerdWallet Boston mortgage rates page (08/21/2025); MANewListings Boston Zip Code Map","University adjacency and event-driven demand patterns; rental dynamics may affect comps. Defaults proxied by county series; monitor seasonality in listings and lender spreads across lenders."
