"LeadNum","Company","Website","Contact","HQ-Address","Industry","Size","Notes"
"MIKE-OCHQ-1A-000001","Ingram Micro","https://www.ingrammicro.com/","Tel: +1 (714) 566-1000 | Ethics/Compliance: https://www.ingrammicro.com/en-us/company/contact-us","3351 Michelson Dr Suite 100, Irvine, CA 92612","IT Distributor / Import-Export","Global distributor with $50B+ annual revenue and 27,000+ employees handling high-volume, multi-modal imports/exports across IT hardware, components, and electronics into/out of U.S. FTZs and DCs.","Global IT distributor subject to EAR; many products require ECCN determinations (networking, security, dual-use). Needs rigorous restricted party screening, de minimis/direct product rule checks, and Section 301 tariff strategy. Complex IOR/EOR models, vendor drop-ship, returns and RMA programs create reconciliation and drawback opportunities. UFLPA supplier risk mapping and CTPAT/broker KPI audits help reduce CBP holds and penalties. Dedicated hotline/contact page supports compliance reporting and inquiries."
"MIKE-OCHQ-1A-000002","Kingston Technology","https://www.kingston.com/","Tel: +1 (714) 426-2600 | Compliance/Contacts: https://www.kingston.com/en/company/contacts | Privacy: privacy@kingston.com","17600 Newhope St, Fountain Valley, CA 92708","Memory & Storage / Import-Export","Large private manufacturer/distributor with multi‑billion USD revenue; extensive global shipments of DRAM, SSDs, and flash products into U.S. channels and enterprise customers.","Encryption-capable storage triggers ENC/5A002/5D002 EAR analysis and license exception management. Critical needs: accurate HTS for SSDs/DRAM, valuation of bundled accessories, robust COO/FTA documentation, and vendor attestations. UFLPA diligence on wafer/assembly supply chains is rising. High RMA volumes require closed-loop returns control and duty drawback. Continuous denied party screening and broker SOP governance limit audit findings. Compliance inquiries can be routed via corporate contacts page."
"MIKE-OCHQ-1A-000003","Hyundai Motor America","https://www.hyundaiusa.com/","Tel: +1 (800) 633-5151 | Corporate/Legal: https://www.hyundaiusa.com/us/en/terms-conditions","10550 Talbert Ave, Fountain Valley, CA 92708","Automotive Importer","U.S. sales arm of Hyundai; large-scale vehicle and parts imports via West Coast gateways; hundreds of thousands of units annually across multiple models and service parts.","Large volumes of vehicles and service parts require precise HTS classification, valuation (assists/tooling), COO marking, and tight recordkeeping (19 CFR 163). KORUS FTA qualification, plus EPA/CARB and NHTSA/FMVSS certifications, must be coordinated. Warranty/recall returns allow duty drawback. Section 301 exposure on select parts, UFLPA supplier traceability, and logistics partner screening underscore the need for SOPs, KPIs, and broker audits. Customer Care line and legal/terms page provide official contact pathways."
"MIKE-OCHQ-1A-000004","Kia America","https://www.kia.com/us/en","Tel: +1 (800) 333-4542 | Privacy/Compliance Contact: https://www.kia.com/us/en/privacy","111 Peters Canyon Rd, Irvine, CA 92606","Automotive Importer","Major U.S. importer and distributor with nationwide dealer network; significant annual vehicle and service-parts volumes into multiple U.S. ports and PDCs.","Nationwide imports of vehicles, accessories, and aftersales parts demand robust classification governance, transfer pricing support for valuation, and defensible COO declarations. Manage KORUS FTA eligibility, EPA/CARB emissions and fuel economy labeling, and NHTSA/FMVSS certifications. Warranty/recall returns can leverage drawback. Enforce restricted party screening, UFLPA diligence for electronics/wiring harnesses, and broker SOPs to reduce CBP risk. Customer Care and privacy page offer formal contact channels."
"MIKE-OCHQ-1A-000005","Yamaha Corporation of America","https://usa.yamaha.com/","Tel: +1 (714) 522-9011 | Corporate Contact: https://usa.yamaha.com/support/contacts/index.html","6600 Orangethorpe Ave, Buena Park, CA 90620","Musical Instruments & AV / Import-Export","U.S. subsidiary of Yamaha with large import volumes of instruments, pro audio, and consumer AV; thousands of active SKUs across multiple categories.","Imports span instruments and AV gear; compliance touchpoints include CITES/Lacey Act for tonewoods, FCC for wireless/AV, and EAR for digital/networked equipment. Needs accurate HTS for instruments, parts, and accessories to avoid misclassification. UFLPA diligence for subcomponents and transparent wood sourcing are key. High SKU churn complicates COO/FTA control. Implement CTPAT, broker SOPs, product-level ECCN/HTS master data, and audit-ready files. Corporate contact portal facilitates compliance escalations."
"MIKE-OCHQ-1A-000006","Rip Curl USA","https://www.ripcurl.com/","Contact: https://www.ripcurl.com/us/help/contact.html | Privacy: https://www.ripcurl.com/us/policies/privacy.html (privacy@ripcurl.com)","3030 Airway Ave, Costa Mesa, CA 92626","Surf Apparel & Gear Importer","Smaller U.S. arm managing seasonal imports of surf apparel, wetsuits, accessories, and watches via West Coast DCs; variable volumes aligned to product drops and promotions.","As an apparel importer, Rip Curl faces frequent classification across Chapters 61/62 and materials like neoprene. Key needs: precise fiber content declarations, COO marking, valuation of design assists and samples, and carton/label compliance to avoid marking penalties. Implement vendor manuals, inspection/AQL programs to reduce CBP holds; prepare UFLPA diligence for cotton and trims. Returns from e‑commerce/retail can support duty drawback; ensure broker SOPs, HTS master data, and denied party screening are enforced."
"MIKE-OCHQ-1A-000007","RVCA","https://www.rvca.com/","Contact: https://www.rvca.com/pages/contact | Privacy: https://www.rvca.com/pages/privacy-policy","960 W 16th St, Costa Mesa, CA 92627","Apparel Importer","Small lifestyle brand importing apparel/accessories with short seasonal cycles and frequent collaborations driving SKU turnover.","RVCA’s product cadence increases HTS/COO complexity and documentation risk. Priorities: vendor onboarding with fiber/label testing, pack/mark rules to prevent CBP notices, Section 301 mitigation for PRC-origin items, and cotton UFLPA traceability. Establish SKU-level HTS governance, broker SOPs/KPIs, and robust restricted party screening around global collab partners. Returns consolidation and RMA programs enable potential drawback; keep audit-ready files per 19 CFR 163 and maintain tariff engineering strategies where feasible."
"MIKE-OCHQ-1A-000008","OBEY Clothing","https://obeyclothing.com/","Tel: N/A | Privacy: https://obeyclothing.com/pages/privacy-policy","17462 Von Karman Ave, Irvine, CA 92614","Apparel Importer","Small apparel label importing graphic tees, fleece, outerwear, hats, and accessories; frequent short-run collections with artist collaborations.","Short-run programs amplify classification and COO challenges. Focus areas: precise fiber content documentation, flammability/care labeling, and packaging/marking to avoid CBP penalties. Build supplier attestations and traceability for cotton to address UFLPA scrutiny. Use clear broker SOPs and HTS/ECCN master data to minimize errors. E‑commerce returns and wholesale RTVs should flow through controlled returns channels for inventory reconciliation and drawback opportunities, with audit trails maintained for five years."
"MIKE-OCHQ-1A-000009","Electric (Electric Visual)","https://www.electriccalifornia.com/","Tel: +1 (800) 958-6556 | Privacy: https://www.electriccalifornia.com/pages/privacy-policy","950 Calle Amanecer, San Clemente, CA 92673","Eyewear & Accessories Importer","Smaller brand importing sunglasses, snow goggles, and accessories with seasonal demand and specialty retail distribution.","Eyewear imports require accurate HTS for frames/lenses/cases, COO marking, and consideration of polarized/optical features. Implement robust vendor QC to prevent labeling/marking issues and ensure UV/safety compliance. UFLPA diligence on components and materials (incl. packaging) should be documented. Manage broker SOPs, carton compliance, and master data governance. Seasonal promos amplify volume spikes—plan for advance filings, PGA holds, and returns processing with drawback where volumes justify the administrative effort."
"MIKE-OCHQ-1A-000010","Stance","https://www.stance.com/","Tel: N/A | Privacy: https://www.stance.com/privacy-policy/privacyPolicy.html (privacy@stance.com)","197 Avenida La Pata, San Clemente, CA 92673","Apparel & Accessories Importer","Mid-size specialty apparel brand with significant sock/underwear/apparel imports across multiple materials and size ranges; omnichannel distribution.","Sock/underwear imports require accurate HTS by fiber content and knit type, plus correct COO marking and pack/label compliance. UFLPA diligence for cotton and elastic components is key. Implement supplier testing/certifications, carton/UPC standards, and ASN data accuracy to reduce CBP exams. Maintain broker SOPs, classification rulings where ambiguous, and restricted party screening. High e‑commerce returns rates support drawback programs; ensure robust reconciliation and inventory controls for audit-readiness."
