"LeadNum","LeadScoreProfit","LeadScoreEasy","LeadNotes","Name","Site","Phone","Rating","Reviews","FullAddress"
"MJ-LEAD-SalemNHRestaurant-Oct25-001","78","65","Abbaston Kitchen shows a strong 4.7 rating with 130 Google reviews and a direct online ordering link (Order.online), suggesting steady off-premise demand and an audience that already orders digitally. SwipeBy can expand revenue via done-for-you email remarketing to re-activate past buyers, while review management can keep the rating high as volume grows. Voice AI would reduce missed calls during peak periods and answer menu/availability questions. Social content and ads can highlight rotating specials and late-night hours, driving incremental orders without extra staff effort. Commission-free ordering and loyalty are a good fit for a quality-focused neighborhood concept looking to keep margins strong.","Abbaston Kitchen","https://order.online/store/abbaston-kitchen-salem-34188681/?hideModal=true","+1 603-458-3254","4.7","130","288 N Broadway, Salem, NH 03079"
"MJ-LEAD-SalemNHRestaurant-Oct25-002","82","60","Shaking Seafood carries significant review volume (592) with a 4.1 rating and clear emphasis on delivery/takeout. This scale indicates meaningful repeatable demand that SwipeBy can monetize. Email remarketing and ads automation can lift order frequency, while review responses can improve star distribution over time. Voice AI will handle high call volumes around sports nights and weekends to capture add-on orders. Social media and UGC-style food gallery posts can fuel traffic without expensive agencies. The concept’s broad menu (seafood boils, wings, cocktails) lends itself to targeted promos and loyalty earn-and-burn offers to drive incremental baskets and turn occasional visitors into regulars.","Shaking seafood","https://shakingseafoodsalem.com/","+1 603-450-8888","4.1","592","369 S Broadway, Salem, NH 03079"
"MJ-LEAD-SalemNHRestaurant-Oct25-003","85","45","Copper Door is a well-established upscale brand with 2,784 reviews at 4.5 stars, suggesting strong traffic and brand equity. Profit upside is high via segmented remarketing (special events, anniversaries, holidays) and proactive review/reputation management, but enterprise decision cycles may slow adoption. SwipeBy’s voice AI can deflect routine calls (reservations, hours, private dining questions) and free hosts; social and paid campaigns can highlight chef features and limited-time menus. Commission-free ordering and loyalty can support off-premise moments and gift card promos. Expect a more complex stakeholder process, but the ROI case is compelling due to high average check and large audience.","Copper Door","https://copperdoor.com/","+1 603-458-2033","4.5","2784","41 S Broadway, Salem, NH 03079"
 "MJ-LEAD-SalemNHRestaurant-Oct25-005","80","50","T-BONES posts 2,068 reviews at 4.3 stars, reflecting a high-volume local favorite with strong off-premise potential across family meals and game-day traffic. SwipeBy can deliver incremental revenue through automated remarketing of lapsed buyers and audience lookalikes, while review/reputation tools maintain quality signals at scale. The voice AI phone agent will improve guest experience by answering common questions and capturing to-go orders during rushes. Social and paid placements can highlight limited-time offers and loyalty rewards to lift order frequency. Implementation should be straightforward; reporting will quantify increased orders and hours saved for FOH staff.","T-BONES Great American Eatery","https://www.t-bones.com/","+1 603-893-3444","4.3","2068","311 S Broadway, Salem, NH 03079"
 "MJ-LEAD-SalemNHRestaurant-Oct25-006","77","56","OpenTable lists Tavern in the Square Salem as a lively hot spot that is good for groups with extended hours into late night on weekends, full bar, cocktails, takeout, and vegan options (source: OpenTable listing). This aligns to SwipeBy’s strengths: always-on social and paid promotion for game days and weekend nights, review and reputation management to keep quality signals strong as traffic spikes, and voice AI to deflect routine calls and prevent missed orders during rush. Commission-free ordering and loyalty can drive repeat frequency without sacrificing margin. With sports traffic and groups, automated remarketing around key dayparts can lift order volume while keeping staff focused on service.","Tavern in the Square","https://www.taverninthesquare.com/locations/salem-nh/","+1 603-685-3135","4.1","144","16 Via Toscana, Salem, NH 03079"
 "MJ-LEAD-SalemNHRestaurant-Oct25-007","84","68","Pressed Cafe promotes an all-day fast-casual menu with Mediterranean flair, breakfast served all day, and consistent hours across locations per the brand site. This makes it a strong fit for SwipeBy’s done-for-you engine: segmented email remarketing by daypart, social content highlighting seasonal drinks and bowls, and review responses to sustain high ratings as volume grows. Voice AI can absorb morning and lunch call volume, answering allergen and pickup timing questions. Commission-free online ordering and loyalty programs support margin and repeat behavior in a high-traffic, mixed-use setting where convenience and speed drive decisions (source: Pressed Cafe website).","Pressed Cafe","http://www.pressedcafe.com/","+1 603-458-5922","4.6","993","1 Artisan Dr, Salem, NH 03079"
 "MJ-LEAD-SalemNHRestaurant-Oct25-008","74","60","Ayasofia’s public Facebook page describes contemporary Mediterranean and classic Middle Eastern cuisine with authentic Turkish entrees, indicating a menu ideal for visual social content and loyalty-driven repeat visits. SwipeBy can use done-for-you social and ads to spotlight kebabs, mezze, and family platters, while email remarketing re-engages past guests for weeknight dinners. Review and reputation management will maintain search visibility and rating health, and voice AI can manage reservation and takeout calls for a lean team. Commission-free ordering protects margin as off-premise grows (source: Ayasofia Facebook page).","Ayasofia Mediterranean Restaurant","http://www.gokalinh.com/","+1 603-458-1485","4.3","230","82 E Broadway, Salem, NH 03079"
 "MJ-LEAD-SalemNHRestaurant-Oct25-009","81","59","Yang Ming’s site highlights Chinese and Japanese cuisine with no MSG, a sushi program, online ordering, and a party room that hosts private events up to about 50 guests. These signals support SwipeBy’s value: automated email and SMS to lift weekday dinner frequency, social and ads to promote sushi features and family combos, and review responses to sustain strong star ratings as volumes rise. Voice AI can reduce missed calls during dinner rush and answer menu or reservation questions. Commission-free ordering and loyalty help convert casual takeout into repeaters while protecting contribution margin (source: Yang Ming About page).","Yang Ming","http://www.yangmingnh.com/","+1 603-898-2888","4.3","830","341 S Broadway, Salem, NH 03079"
  "MJ-LEAD-SalemNHRestaurant-Oct25-010","79","44","Tuscan Market’s page notes it is an artisan Italian market with two bars, outdoor dining, entertainment space, daily cooking classes, and takeout ordering via Toast, open for breakfast, lunch, and dinner. SwipeBy can orchestrate segmented remarketing for breakfast bakery, lunch cafe, dinner, catering, and classes. Review and reputation tools help manage high guest volume across touchpoints. Voice AI can field frequent calls about hours, menus, and class availability. Social and paid campaigns can spotlight seasonal menus and events, while commission-free ordering and loyalty strengthen retention and margin (source: Tuscan Market website).","Tuscan Market at Tuscan Village Salem","https://tuscanbrands.com/tuscan-market-salem/","+1 603-912-5467","4.1","2366","9 Via Toscana, Salem, NH 03079"
 "MJ-LEAD-SalemNHRestaurant-Oct25-011","79","55","Ya Mas presents itself as family-owned, farm-to-table Greek with catering, parties, and reservations supported directly on the site. This mix of authentic cuisine and event capability maps well to SwipeBy. Done-for-you social and ads can highlight seasonal Greek dishes and celebratory experiences, while email remarketing re-engages guests for catering and special occasions. Review and reputation tools amplify search visibility as traffic grows. Voice AI can handle reservation inquiries, large-party logistics, and common menu questions so FOH can focus on service. Commission-free ordering and loyalty can drive repeat frequency among local families and shoppers at Rockingham Park (source: Ya Mas website).","Ya Mas Greek Taverna & Bar","https://yourmythbeginsatyamas.com/","+1 603-635-4230","4.3","1005","275 Rockingham Park Blvd, Salem, NH 03079"
 "MJ-LEAD-SalemNHRestaurant-Oct25-012","81","52","Black Water Grill positions as an upscale-casual dining experience per its Facebook presence, with strong local following and occasion dining. SwipeBy’s segmented remarketing can promote date nights, weekend reservations, and chef-driven features; social/paid can showcase atmosphere and seasonal cocktails. Review and reputation management sustains high rating signals. Voice AI reduces host stand pressure by answering hours, wait times, and private dining questions. Loyalty and commission-free ordering support takeout for at-home occasions. These tools grow revenue without new staff overhead (source: Black Water Grill Facebook page).","Black Water Grill","http://www.theblackwatergrill.com/","+1 603-328-9013","4.5","807","43 Pelham Rd, Salem, NH 03079"
 "MJ-LEAD-SalemNHRestaurant-Oct25-013","72","61","Cibao Kitchen is listed at The Mall at Rockingham Park (Simon.com) with mall location and hours info, indicating a quick-service, high-traffic context ideal for visual social content and frequent, small-ticket ordering. SwipeBy can automate remarketing to convert mall browsers into repeat buyers, while review ops improve discovery. Voice AI is helpful for simple menu/hours queries and group orders. Commission-free ordering and loyalty keep margins healthy and encourage bounce-back offers to drive weekday traffic (source: Simon Mall store page for Cibao Kitchen).","Cibao kitchen","","+1 603-890-7044","4.7","48","99 Rockingham Park Blvd, Salem, NH 03079"
 "MJ-LEAD-SalemNHRestaurant-Oct25-014","83","57","Ralphie’s site highlights a 1978-founded, family-run Italian staple with large portions, full bar, gift cards, and takeout, backed by strong social proof from Google, TripAdvisor, and Facebook quotes. SwipeBy can elevate revenue with segmented remarketing (pasta nights, family trays, gift card promos), review/reputation response at scale, and voice AI to field frequent calls about hours, specials, and pickup timing. Social and paid campaigns can feature signature red sauce and meatballs; loyalty and commission-free ordering improve retention and margin, turning occasional dine-in guests into multi-channel regulars (source: Ralphie’s website).","Ralphie's Cafe Italiano","http://www.ralphiescafeitaliano.com/","+1 603-893-3777","4.4","1649","91 S Broadway, Salem, NH 03079"
 "MJ-LEAD-SalemNHRestaurant-Oct25-015","70","58","Sayde’s Facebook page frames it as a welcoming neighborhood bar and grill hosting events and a varied menu with Middle Eastern influences. SwipeBy’s done-for-you social and ads can promote weekly happenings and specials, while remarketing nudges past guests for midweek visits. Review and reputation tools strengthen local discovery. Voice AI can answer event times, menu basics, and takeout questions to reduce staff interruptions. Commission-free online ordering and loyalty drive repeat frequency among regulars without eroding margin (source: Sayde’s Bar & Grill Facebook page).","Sayde's Bar & Grill","","+1 603-890-1032","4.4","319","136 Cluff Crossing Rd, Salem, NH 03079"
{{ ... }}
"MJ-LEAD-SalemNHRestaurant-Oct25-017","","","","CRACK'D Kitchen & Coffee","http://www.crackdkitchen.com/","+1 603-212-1511","4.7","274","327 S Broadway, Salem, NH 03079"
"MJ-LEAD-SalemNHRestaurant-Oct25-018","","","","The Capital Grille","https://www.thecapitalgrille.com/locations/nh/salem/salem-tuscan-village/8078?cmpid=br:tcg_ag:ie_ch:loc_ca:TCGGMB_sn:gmb_gt:salem-nh-8078_pl:locurl_rd:1071","+1 603-212-7108","4.6","114","19 Artisan Dr #3000, Salem, NH 03079"
"MJ-LEAD-SalemNHRestaurant-Oct25-019","","","","Ellie's Kitchen","http://www.ellieskitchen.net/","+1 603-685-8508","5","8","401 Main St #104, Salem, NH 03079"
"MJ-LEAD-SalemNHRestaurant-Oct25-020","","","","TOMO Japanese Steakhouse","https://www.tomosalem.com/","+1 603-893-8880","4.4","1453","368 S Broadway, Salem, NH 03079"
{{ ... }}
"MJ-LEAD-SalemNHRestaurant-Oct25-022","","","","The Colosseum Restaurant","http://www.thecolosseumrestaurant.com/","+1 603-898-1190","4.2","922","264 N Broadway #101, Salem, NH 03079"
"MJ-LEAD-SalemNHRestaurant-Oct25-023","","","","Amore Pizza Restaurant","http://www.amorepizzanh.com/","+1 603-894-4344","4.8","290","314 S Broadway # E, Salem, NH 03079"
"MJ-LEAD-SalemNHRestaurant-Oct25-024","","","","Grand India","https://grand-india.com/?utm_source=google","+1 603-458-5560","4.8","545","264 N Broadway #105, Salem, NH 03079"
"MJ-LEAD-SalemNHRestaurant-Oct25-025","","","","Trattoria Amalfi","http://www.tamalfi.com/","+1 603-893-5773","4.6","877","385 S Broadway, Salem, NH 03079"
"MJ-LEAD-SalemNHRestaurant-Oct25-026","","","","99 Restaurants","https://www.99restaurants.com/locations/new-hampshire/salem/","+1 603-893-5596","4.3","2108","149 S Broadway, Salem, NH 03079"
"MJ-LEAD-SalemNHRestaurant-Oct25-027","","","","MaryAnn's Diner","https://maryannsdiner.com/","+1 603-893-9877","4.5","4027","3 Veterans Memorial Pkwy, Salem, NH 03079"
"MJ-LEAD-SalemNHRestaurant-Oct25-028","","","","New Chief Wok Restaurant","http://www.newchiefwoknh.com/","+1 603-898-6200","4.3","314","224 N Broadway, Salem, NH 03079"
"MJ-LEAD-SalemNHRestaurant-Oct25-029","","","","Kashmir Indian Cuisine","http://www.kashmirindianfood.com/","+1 603-898-3455","4.4","1335","396 S Broadway, Salem, NH 03079"
"MJ-LEAD-SalemNHRestaurant-Oct25-030","","","","Rose's Home Cookin'","http://www.roseshomecookin.com/","+1 603-458-1939","4.8","130","53 Stiles Rd # A101, Salem, NH 03079"
"MJ-LEAD-SalemNHRestaurant-Oct25-031","","","","Vallarta Tacos & Burritos","https://vallartatacosburritos.com/","+1 603-328-5552","4.8","264","92 Cluff Crossing Rd, Salem, NH 03079"
"MJ-LEAD-SalemNHRestaurant-Oct25-032","","","","Rae's Coal Fired Pizza","http://raescoalfired.com/","+1 603-458-7078","4.3","27","23 S Broadway, Salem, NH 03079"
"MJ-LEAD-SalemNHRestaurant-Oct25-033","","","","Old School Bar & Grill","http://oldschoolbarandgrill.com/","+1 603-458-6051","4.3","1306","49 NH-111A Building 2, Suite #4, Windham, NH 03087"
"MJ-LEAD-SalemNHRestaurant-Oct25-034","","","","Tokyo Japanese Steakhouse","http://www.tokyosteakhousesalem.com/","+1 603-894-7088","4.3","435","291 S Broadway, Salem, NH 03079"
"MJ-LEAD-SalemNHRestaurant-Oct25-035","","","","Par28","https://par28.com/","+1 603-458-7078","4.4","188","23 S Broadway Unit 10, Salem, NH 03079"
"MJ-LEAD-SalemNHRestaurant-Oct25-036","","","","Dreo Food and Drink","http://www.dreofoodanddrink.com/","+1 603-824-6337","4.2","64","254 N Broadway #101, Salem, NH 03079"
"MJ-LEAD-SalemNHRestaurant-Oct25-037","","","","Lucky Dragon","https://luckydragonnh.com/","+1 603-898-8888","4.0","349","339 S Broadway UNIT 2, Salem, NH 03079"
"MJ-LEAD-SalemNHRestaurant-Oct25-038","","","","Michael's Flatbread Bar & Grill","https://michaelsmarketllc.com/","+1 603-893-2765","4.4","108","8 Stiles Rd, Salem, NH 03079"
"MJ-LEAD-SalemNHRestaurant-Oct25-039","","","","NH Beach Pizza","http://www.nhbeachpizza.com/","+1 603-458-2184","4.6","266","5 Kelly Rd, Salem, NH 03079"
"MJ-LEAD-SalemNHRestaurant-Oct25-040","","","","Wrap City Sandwich Co.","http://wrapcitysandwiches.com/","+1 603-824-6370","4.4","61","125 S Broadway, Salem, NH 03079"
"MJ-LEAD-SalemNHRestaurant-Oct25-041","","","","The Rooftop at The Artisan","https://www.therooftopattheartisan.com/","+1 603-458-3028","3.5","112","19 Via Toscana Suite #550, Salem, NH 03079"
"MJ-LEAD-SalemNHRestaurant-Oct25-042","","","","Granfanally's Pizza Pub","https://www.granfanallys.com/","+1 603-898-4412","4.2","1209","354 N Broadway, Salem, NH 03079"
"MJ-LEAD-SalemNHRestaurant-Oct25-043","","","","Sons of Liberty Tavern","https://www.canobie.com/dining/sons-of-liberty-tavern/","","3.2","6","QPVX+RQ, Salem, NH 03079"
"MJ-LEAD-SalemNHRestaurant-Oct25-044","","","","Kelly's Roast Beef","https://kellysroastbeef.com/","+1 603-272-2222","3.5","529","181 S Broadway, Salem, NH 03079"
"MJ-LEAD-SalemNHRestaurant-Oct25-045","","","","Mei Hoo","https://www.meihoonh.com/?utm_source=gmb","+1 603-890-0288","3.9","271","135 N Broadway, Salem, NH 03079"
"MJ-LEAD-SalemNHRestaurant-Oct25-046","","","","Balducci's Wood Fired Pizza","http://www.balduccispizza.com/","+1 603-890-3344","4.4","323","419 S Broadway, Salem, NH 03079"
"MJ-LEAD-SalemNHRestaurant-Oct25-047","","","","sweetgreen","https://www.sweetgreen.com/","+1 351-277-3463","3.9","58","17 Artisan Dr #1130, Salem, NH 03079"
"MJ-LEAD-SalemNHRestaurant-Oct25-048","","","","ea teriyaki","https://www.eateriyakinh.com/","+1 346-730-7369","3.4","5","99 Rockingham Park Blvd ste217, Salem, NH 03079"
"MJ-LEAD-SalemNHRestaurant-Oct25-049","","","","Shake Shack Tuscan Village","http://www.shakeshack.com/?utm_source=google","+1 603-896-9134","4.3","347","100 Via Toscana Bld 1000, Salem, NH 03079"
"MJ-LEAD-SalemNHRestaurant-Oct25-050","","","","Appleseed Crepe And Bread","http://appleseedcrepe.com/","+1 617-794-4610","4.3","27","99 Rockingham Park Blvd, Salem, NH 03079"
"MJ-LEAD-SalemNHRestaurant-Oct25-051","","","","Stachey's","https://stacheys.com/","+1 603-893-1999","4.2","411","517 S Broadway, Salem, NH 01970"
"MJ-LEAD-SalemNHRestaurant-Oct25-052","","","","The Lims Sports Bar and Cafe","http://www.thelimssportsbarandcafe.com/","+1 603-893-9124","3.8","70","7 Veterans Memorial Pkwy, Salem, NH 03079"
"MJ-LEAD-SalemNHRestaurant-Oct25-053","","","","Romano's Pizzeria","http://www.romanospizzanh.com/","+1 603-898-0788","4.5","1110","154 Main St, Salem, NH 03079"
"MJ-LEAD-SalemNHRestaurant-Oct25-054","","","","Tessi's Pizzeria","https://tessipizzeria.com/","+1 603-893-2818","4","240","15 Ermer Rd, Salem, NH 03079"
"MJ-LEAD-SalemNHRestaurant-Oct25-055","","","","Playa Bowls","https://www.playabowls.com/location/salem","+1 603-458-3202","4.9","374","200 Via Toscana, Salem, NH 03079"
"MJ-LEAD-SalemNHRestaurant-Oct25-056","","","","Fresh Hub Eatery","http://freshhubeatery.com/","+1 603-458-5775","4.2","210","23 Stiles Rd, Salem, NH 03079"
"MJ-LEAD-SalemNHRestaurant-Oct25-057","","","","Wayback Burgers","https://waybackburgers.com/locations/new-hampshire/salem/?y_source=1_MTM4NTMxNTgtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D","+1 603-458-2469","3.2","103","99 Rockingham Park Blvd Room 213, Salem, NH 03079"
"MJ-LEAD-SalemNHRestaurant-Oct25-058","","","","Peppers pub","","+1 603-328-5476","4.2","72","326 S Broadway, Salem, NH 03079"
"MJ-LEAD-SalemNHRestaurant-Oct25-059","","","","OakCraft Pizza","https://oakcraftpizza.com/","+1 603-458-2510","4.5","172","55 Central St, Salem, NH 03079"
"MJ-LEAD-SalemNHRestaurant-Oct25-060","","","","TenderFix by Noah Schnapp","https://www.tenderfix.com/info/faq","+1 888-413-5074","","","528 S Broadway, Salem, NH 03079"
"MJ-LEAD-SalemNHRestaurant-Oct25-061","","","","Thai Chili","https://www.toasttab.com/thai-chili-salem-nh","+1 603-898-3222","4.5","328","473 S Broadway, Salem, NH 03079"
"MJ-LEAD-SalemNHRestaurant-Oct25-062","","","","Chili's Grill & Bar","https://www.chilis.com/locations/us/new-hampshire/salem/salem?utm_source=google","+1 603-890-1777","4.1","1533","NH-28, 297 S Broadway, Salem, NH 03079"
"MJ-LEAD-SalemNHRestaurant-Oct25-063","","","","Master Wok","https://www.simon.com/mall/the-mall-at-rockingham-park/stores/master-wok","","3.5","31","99 Rockingham Park Blvd, Salem, NH 03079"
"MJ-LEAD-SalemNHRestaurant-Oct25-064","","","","Maddies Bagel and Eatery","https://maddiesnh.com/","+1 603-894-0094","4.7","882","240 N Broadway, Salem, NH 03079"
"MJ-LEAD-SalemNHRestaurant-Oct25-065","","","","Kong dog","https://kongdog.us/","+1 603-824-6047","4.3","21","99 Rockingham Park Blvd, Salem, NH 03079"
"MJ-LEAD-SalemNHRestaurant-Oct25-066","","","","Cancun Pizza","https://www.cancunpizza.com/","+1 603-893-0110","4.2","5","1 Keewaydin Dr, Salem, NH 03079"
"MJ-LEAD-SalemNHRestaurant-Oct25-067","","","","Chick-fil-A Tuscan Village","https://www.chick-fil-a.com/locations/nh/tuscan-village-nh","+1 978-872-1421","4.4","927","14 S Village Dr, Salem, NH 03079"
"MJ-LEAD-SalemNHRestaurant-Oct25-068","","","","Suppa's Pizza Salem","http://www.suppaspizzasalem.com/","+1 603-328-5460","4.4","309","5 Lawrence Rd, Salem, NH 03079"
"MJ-LEAD-SalemNHRestaurant-Oct25-069","","","","Margaritas Mexican Restaurant","https://www.margs.com/salem","+1 603-893-0110","4","1077","1 Keewaydin Dr, Salem, NH 03079"
"MJ-LEAD-SalemNHRestaurant-Oct25-070","","","","Blue House Family Pizza Salem","https://bluehouseofpizza.com/","+1 603-890-1131","4.4","720","3 Hampshire St, Salem, NH 03079"
"MJ-LEAD-SalemNHRestaurant-Oct25-071","","","","Top Gun Grille","","","","","60 Lowell Rd, Salem, NH 03079"
"MJ-LEAD-SalemNHRestaurant-Oct25-072","","","","Wasabi Steak House","http://www.nhwasabisteakhouse.com/","+1 603-890-1688","4.4","638","236 N Broadway B, Salem, NH 03079"
"MJ-LEAD-SalemNHRestaurant-Oct25-073","","","","Sammy J's Breakfast Cafe","","+1 603-894-5395","4.5","726","144 Main St, Salem, NH 03079"
