LeadNum,name,site,type,phone,full_address,rating,reviews,reviews_per_score_1,reviews_per_score_2,reviews_per_score_3,reviews_per_score_4,reviews_per_score_5,photos_count,working_hours,business_status,about,range,description,verified,owner_title,reservation_links,booking_appointment_link,menu_link,order_links
MJ-LEAD-SalemNHRestaurant-Oct25-001,Abbaston Kitchen,https://order.online/store/abbaston-kitchen-salem-34188681/?hideModal=true,Restaurant,+1 603-458-3254,"288 N Broadway, Salem, NH 03079",4.7,130,5,2,1,5,117,101,"{""Monday"": ""11AM-11PM"", ""Tuesday"": ""11AM-11PM"", ""Wednesday"": ""11AM-11PM"", ""Thursday"": ""11AM-11PM"", ""Friday"": ""11AM-11PM"", ""Saturday"": ""11AM-11PM"", ""Sunday"": ""11AM-11PM""}",OPERATIONAL,"{""Service options"": {""No-contact delivery"": true, ""Delivery"": true, ""Takeout"": true, ""Dine-in"": true}, ""Popular for"": {""Lunch"": true, ""Dinner"": true, ""Solo dining"": true}, ""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true, ""Wheelchair accessible restroom"": true}, ""Offerings"": {""Comfort food"": true, ""Quick bite"": true}, ""Dining options"": {""Brunch"": true, ""Lunch"": true, ""Dinner"": true, ""Catering"": true, ""Counter service"": true, ""Dessert"": true, ""Seating"": true, ""Table service"": true}, ""Amenities"": {""Restroom"": true}, ""Atmosphere"": {""Casual"": true}, ""Crowd"": {""Family-friendly"": true, ""Tourists"": true}, ""Planning"": {""Accepts reservations"": false}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}, ""Children"": {""Good for kids"": true}, ""Parking"": {""Free parking garage"": true, ""Free parking lot"": true, ""Free street parking"": true, ""On-site parking"": true, ""Parking"": true}}",$$,,TRUE,Abbaston Kitchen,,"https://www.google.com/viewer/chooseprovider?mid=/g/11y75z74rr&g2lbs=AO8LyOJ-FyJdzy6oKsg5r2k7otOEVqWuELAPa-gctUZEoTb8alo4sDkhJaBHm7Xiqz2nBbmhtjiAeqwea_PxzBFCDY9bQw75ZClFu98bcUdYUnZnjiYkAYyuwW5UJU8xVW2vM3PEDe_7&hl=en-US&gl=us&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=KKDyaIjDGo6O1fIP-KPCoQ4&ei=KKDyaIjDGo6O1fIP-KPCoQ4&fo_s=OA,SOE&opi=79508299&ebb=1&cs=0&foub=mcpp",,
MJ-LEAD-SalemNHRestaurant-Oct25-002,Shaking seafood,https://shakingseafoodsalem.com/,Cajun restaurant,+1 603-450-8888,"369 S Broadway, Salem, NH 03079",4.1,592,59,30,54,85,364,404,"{""Monday"": ""12-9:30PM"", ""Tuesday"": ""12-9:30PM"", ""Wednesday"": ""12-9:30PM"", ""Thursday"": ""12-9:30PM"", ""Friday"": ""12-10:30PM"", ""Saturday"": ""12-10:30PM"", ""Sunday"": ""12-9:30PM""}",OPERATIONAL,"{""Service options"": {""Delivery"": true, ""Takeout"": true, ""Dine-in"": true}, ""Highlights"": {""Fast service"": true, ""Sports"": true}, ""Popular for"": {""Lunch"": true, ""Dinner"": true, ""Solo dining"": true}, ""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true, ""Wheelchair accessible restroom"": true, ""Wheelchair accessible seating"": true}, ""Offerings"": {""Alcohol"": true, ""Beer"": true, ""Cocktails"": true, ""Comfort food"": true, ""Hard liquor"": true, ""Small plates"": true, ""Wine"": true}, ""Dining options"": {""Lunch"": true, ""Dinner"": true, ""Dessert"": true, ""Seating"": true, ""Table service"": true}, ""Amenities"": {""Bar onsite"": true, ""Restroom"": true}, ""Atmosphere"": {""Casual"": true}, ""Crowd"": {""Groups"": true, ""Tourists"": true}, ""Planning"": {""Accepts reservations"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}, ""Children"": {""Good for kids"": true, ""High chairs"": true, ""Kids' menu"": true}, ""Parking"": {""Free parking lot"": true, ""Free street parking"": true, ""Parking"": true}}",$$,,FALSE,Shaking seafood,,"https://www.google.com/viewer/chooseprovider?mid=/g/11qnlx_wpy&g2lbs=AO8LyOKyFy7KeQG3nINkHnP9sn6krAbcJhjjQqpdTFA_GAvEEjYoB8ske4iuHHtRyrz-ivpHZbViR54sOI4nBhvK2SrBNQYVsM1dAn9qcS-Ndi1bOim9f4j4aWuudHczovvPmX6NzvQG&hl=en-US&gl=us&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=KKDyaIjDGo6O1fIP-KPCoQ4&ei=KKDyaIjDGo6O1fIP-KPCoQ4&fo_s=OA,SOE&opi=79508299&ebb=1&cs=0&foub=mcpp",,
MJ-LEAD-SalemNHRestaurant-Oct25-003,Copper Door,https://copperdoor.com/,American restaurant,+1 603-458-2033,"41 S Broadway, Salem, NH 03079",4.5,2784,86,68,177,487,1966,1395,"{""Monday"": ""11:30AM-10PM"", ""Tuesday"": ""11:30AM-10PM"", ""Wednesday"": ""11:30AM-10PM"", ""Thursday"": ""11:30AM-12AM"", ""Friday"": ""11:30AM-12AM"", ""Saturday"": ""11:30AM-12AM"", ""Sunday"": ""11AM-10PM""}",OPERATIONAL,"{""Service options"": {""Outdoor seating"": true, ""Takeout"": true, ""Dine-in"": true, ""Delivery"": false}, ""Highlights"": {""Fast service"": true, ""Fireplace"": true, ""Great beer selection"": true, ""Great cocktails"": true, ""Great dessert"": true, ""Great wine list"": true, ""Live music"": true, ""Serves local specialty"": true, ""Sports"": true}, ""Popular for"": {""Lunch"": true, ""Dinner"": true, ""Solo dining"": true}, ""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true, ""Wheelchair accessible restroom"": true, ""Wheelchair accessible seating"": true}, ""Offerings"": {""Alcohol"": true, ""Beer"": true, ""Cocktails"": true, ""Coffee"": true, ""Comfort food"": true, ""Happy hour drinks"": true, ""Happy hour food"": true, ""Hard liquor"": true, ""Healthy options"": true, ""Late-night food"": true, ""Private dining room"": true, ""Small plates"": true, ""Vegetarian options"": true, ""Wine"": true}, ""Dining options"": {""Brunch"": true, ""Lunch"": true, ""Dinner"": true, ""Catering"": true, ""Dessert"": true, ""Seating"": true, ""Table service"": true}, ""Amenities"": {""Bar onsite"": true, ""Restroom"": true}, ""Atmosphere"": {""Casual"": true, ""Cozy"": true, ""Romantic"": true, ""Trendy"": true, ""Upscale"": true}, ""Crowd"": {""Family-friendly"": true, ""Groups"": true, ""Tourists"": true}, ""Planning"": {""Brunch reservations recommended"": true, ""Dinner reservations recommended"": true, ""Accepts reservations"": true, ""Usually a wait"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}, ""Children"": {""High chairs"": true, ""Kids' menu"": true}, ""Parking"": {""Free parking lot"": true, ""Free street parking"": true, ""Parking"": true}}",$$$,"Airy eatery with a polished ambiance offering a menu of meat & fish dishes, plus cocktails.",TRUE,Copper Door,"https://resy.com/cities/salem-or/venues/copper-door-salem?rwg_token=ACgRB3e7AZ3LEcSfOooeUtYLM5-IThn9TM7UFD5Lm3e7DDcCnvlO_jL2gvDsqpvugC--kqBBnMN-02_o8E2Sw02L9IuJch7TvSfM3Ac0YHSX4hSgBt5sbDo%3D, https://party-request.tripleseat.com/venues/UFndMyIF/?rwg_token=ACgRB3cFwC6HjwUV7q8HVd3QclvQxv3i-UZg4AYjw7nxO1D5_U4Lf3aLzJaglfZJkkehkRBGmL71uCTvGqUeUXEpHLaTeKl7gPsgV13t1ebtuRobBexbRGc%3D",https://resy.com/cities/salem-or/venues/copper-door-salem?rwg_token=ACgRB3e7AZ3LEcSfOooeUtYLM5-IThn9TM7UFD5Lm3e7DDcCnvlO_jL2gvDsqpvugC--kqBBnMN-02_o8E2Sw02L9IuJch7TvSfM3Ac0YHSX4hSgBt5sbDo%3D,,"https://resy.com/cities/salem-or/venues/copper-door-salem?rwg_token=ACgRB3e7AZ3LEcSfOooeUtYLM5-IThn9TM7UFD5Lm3e7DDcCnvlO_jL2gvDsqpvugC--kqBBnMN-02_o8E2Sw02L9IuJch7TvSfM3Ac0YHSX4hSgBt5sbDo%3D, https://party-request.tripleseat.com/venues/UFndMyIF/?rwg_token=ACgRB3cFwC6HjwUV7q8HVd3QclvQxv3i-UZg4AYjw7nxO1D5_U4Lf3aLzJaglfZJkkehkRBGmL71uCTvGqUeUXEpHLaTeKl7gPsgV13t1ebtuRobBexbRGc%3D"
MJ-LEAD-SalemNHRestaurant-Oct25-004,Tuscan Kitchen Salem,https://tuscanbrands.com/explore-our-brands/brand/tuscan-kitchen-salem/,Restaurant,+1 603-952-4875,"19 Via Toscana, Salem, NH 03079",4.2,268,29,19,18,16,186,222,"{""Monday"": ""11:30AM-10PM"", ""Tuesday"": ""11:30AM-10PM"", ""Wednesday"": ""11:30AM-10PM"", ""Thursday"": ""11:30AM-10PM"", ""Friday"": ""11:30AM-11PM"", ""Saturday"": ""11:30AM-11PM"", ""Sunday"": ""11:30AM-9PM""}",OPERATIONAL,"{""Service options"": {""Outdoor seating"": true, ""Delivery"": true, ""Onsite services"": true, ""Takeout"": true, ""Dine-in"": true}, ""Highlights"": {""Great cocktails"": true, ""Great coffee"": true, ""Great dessert"": true, ""Great wine list"": true}, ""Popular for"": {""Lunch"": true, ""Dinner"": true, ""Solo dining"": true}, ""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true, ""Wheelchair accessible restroom"": true, ""Wheelchair accessible seating"": true}, ""Offerings"": {""Alcohol"": true, ""Beer"": true, ""Cocktails"": true, ""Coffee"": true, ""Comfort food"": true, ""Hard liquor"": true, ""Healthy options"": true, ""Small plates"": true, ""Wine"": true}, ""Dining options"": {""Lunch"": true, ""Dinner"": true, ""Dessert"": true, ""Seating"": true, ""Table service"": true}, ""Amenities"": {""Bar onsite"": true, ""Restroom"": true, ""Wi-Fi"": true}, ""Atmosphere"": {""Cozy"": true, ""Romantic"": true, ""Trendy"": true, ""Upscale"": true}, ""Crowd"": {""Family-friendly"": true, ""Groups"": true, ""Tourists"": true}, ""Planning"": {""Dinner reservations recommended"": true, ""Accepts reservations"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}, ""Children"": {""Good for kids"": true, ""Has changing table(s)"": true, ""High chairs"": true, ""Kids' menu"": true}, ""Parking"": {""Free parking lot"": true, ""Free street parking"": true, ""On-site parking"": true, ""Parking"": true}}",,Sprawling Italian haunt serving polished dishes & wine amid rustic-chic surrounds.,TRUE,Tuscan Kitchen Salem,"https://www.opentable.com/r/tuscan-kitchen-reservations-salem?restref=48268&lang=en-US&ot_source=Google&ot_campaign=Google, https://party-request.tripleseat.com/venues/UGHDMyIF/?rwg_token=ACgRB3fCkTcvnwOLUfE2tlkHgjGTFIwvY68R99KmG86FtcxnaCamMGdM1vBe8C5SAJiDQHzIizYPxLYdl486lKisgU7MnXgEzQy_23CjgrR6ievwvXUtPs4%3D","https://www.google.com/viewer/chooseprovider?mid=/g/11vf9j3q3h&g2lbs=AO8LyOL0t-ayQ5JcA37PpChhYQfcn4lmP6tqK2fTB1RL3CZsVeItJrlP77dHvn988KNvvtH2_9SEJPas87yVx-VcgYVmB-zzRVQKpu5rze6nU0qCpr81icXiiB4CZM-eocatri_N_rb2&hl=en-US&gl=us&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=KKDyaIjDGo6O1fIP-KPCoQ4&ei=KKDyaIjDGo6O1fIP-KPCoQ4&fo_s=OA,SOE&opi=79508299&ebb=1&cs=0&foub=mcpp",,"https://www.opentable.com/r/tuscan-kitchen-reservations-salem?restref=48268&lang=en-US&ot_source=Google&ot_campaign=Google, https://party-request.tripleseat.com/venues/UGHDMyIF/?rwg_token=ACgRB3fCkTcvnwOLUfE2tlkHgjGTFIwvY68R99KmG86FtcxnaCamMGdM1vBe8C5SAJiDQHzIizYPxLYdl486lKisgU7MnXgEzQy_23CjgrR6ievwvXUtPs4%3D"
MJ-LEAD-SalemNHRestaurant-Oct25-005,T-BONES Great American Eatery,https://www.t-bones.com/,American restaurant,+1 603-893-3444,"311 S Broadway, Salem, NH 03079",4.3,2068,94,66,160,504,1244,504,"{""Monday"": ""11:30AM-10PM"", ""Tuesday"": ""11:30AM-10PM"", ""Wednesday"": ""11:30AM-10PM"", ""Thursday"": ""11:30AM-12AM"", ""Friday"": ""11:30AM-12AM"", ""Saturday"": ""11:30AM-12AM"", ""Sunday"": ""11:30AM-10PM""}",OPERATIONAL,"{""Service options"": {""Delivery"": true, ""Takeout"": true, ""Dine-in"": true}, ""Highlights"": {""Fast service"": true, ""Great beer selection"": true, ""Great cocktails"": true, ""Great dessert"": true, ""Great wine list"": true, ""Serves local specialty"": true, ""Sports"": true}, ""Popular for"": {""Lunch"": true, ""Dinner"": true, ""Solo dining"": true}, ""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true, ""Wheelchair accessible restroom"": true, ""Wheelchair accessible seating"": true}, ""Offerings"": {""Alcohol"": true, ""Beer"": true, ""Cocktails"": true, ""Coffee"": true, ""Comfort food"": true, ""Happy hour drinks"": true, ""Happy hour food"": true, ""Hard liquor"": true, ""Healthy options"": true, ""Late-night food"": true, ""Quick bite"": true, ""Small plates"": true, ""Vegetarian options"": true, ""Wine"": true}, ""Dining options"": {""Lunch"": true, ""Dinner"": true, ""Catering"": true, ""Dessert"": true, ""Seating"": true, ""Table service"": true}, ""Amenities"": {""Bar onsite"": true, ""Restroom"": true, ""Wi-Fi"": true}, ""Atmosphere"": {""Casual"": true, ""Cozy"": true}, ""Crowd"": {""Family-friendly"": true, ""Groups"": true, ""Tourists"": true}, ""Planning"": {""Accepts reservations"": true, ""Usually a wait"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}, ""Children"": {""Good for kids"": true, ""High chairs"": true, ""Kids' menu"": true}, ""Parking"": {""Free parking lot"": true, ""Free street parking"": true, ""Parking"": true}}",$$,"Family-friendly restaurant serving up a huge American menu, including many kids' options.",TRUE,T-BONES Great American Eatery,,"https://www.google.com/viewer/chooseprovider?mid=/g/1tfryhf5&g2lbs=AO8LyOIHWKjrEfbmXbHD8G-nih3wh7AHTRkd00FQiNetQjwoujDbvybqALC4iSWJ-N7e_jt_oiMl7j8oTJdnwMvyPW9KQlYZvSNh1hBy0Qu5T3SMjcbASZWEjGQAkR3gcZ4YV-Xn-H4o&hl=en-US&gl=us&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=KKDyaIjDGo6O1fIP-KPCoQ4&ei=KKDyaIjDGo6O1fIP-KPCoQ4&fo_s=OA,SOE&opi=79508299&ebb=1&cs=0&foub=mcpp",,
MJ-LEAD-SalemNHRestaurant-Oct25-006,Tavern in the Square,https://www.taverninthesquare.com/locations/salem-nh/,Restaurant,+1 603-685-3135,"16 Via Toscana, Salem, NH 03079",4.1,144,19,11,7,10,97,164,"{""Monday"": ""11:30AM-12AM"", ""Tuesday"": ""11:30AM-12AM"", ""Wednesday"": ""11:30AM-12AM"", ""Thursday"": ""11:30AM-1AM"", ""Friday"": ""11:30AM-1AM"", ""Saturday"": ""10AM-1AM"", ""Sunday"": ""10AM-12AM""}",OPERATIONAL,"{""Service options"": {""Outdoor seating"": true, ""Takeout"": true, ""Delivery"": false, ""Dine-in"": false}, ""Highlights"": {""Fast service"": true, ""Great cocktails"": true}, ""Popular for"": {""Lunch"": true, ""Dinner"": true, ""Solo dining"": true}, ""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true, ""Wheelchair accessible seating"": true, ""Assistive hearing loop"": false, ""Wheelchair accessible restroom"": false}, ""Offerings"": {""Alcohol"": true, ""Coffee"": true, ""Quick bite"": true}, ""Dining options"": {""Lunch"": true, ""Dinner"": true, ""Seating"": true, ""Table service"": true}, ""Amenities"": {""Restroom"": true}, ""Atmosphere"": {""Casual"": true}, ""Crowd"": {""Groups"": true, ""Tourists"": true}, ""Planning"": {""Accepts reservations"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true}, ""Parking"": {""Free parking lot"": true, ""Free street parking"": true}}",$$,,TRUE,Tavern in the Square,https://www.opentable.com/restaurant/profile/1402339?ref=1068,https://www.opentable.com/restaurant/profile/1402339?ref=1068,,https://www.opentable.com/restaurant/profile/1402339?ref=1068
MJ-LEAD-SalemNHRestaurant-Oct25-007,Pressed Cafe,http://www.pressedcafe.com/,Israeli restaurant,+1 603-458-5922,"1 Artisan Dr, Salem, NH 03079",4.6,993,45,19,35,113,781,383,"{""Monday"": ""5AM-10PM"", ""Tuesday"": ""5AM-10PM"", ""Wednesday"": ""5AM-10PM"", ""Thursday"": ""5AM-10PM"", ""Friday"": ""5AM-10PM"", ""Saturday"": ""5AM-10PM"", ""Sunday"": ""5AM-10PM""}",OPERATIONAL,"{""Service options"": {""Outdoor seating"": true, ""Curbside pickup"": true, ""Drive-through"": true, ""Takeout"": true, ""Dine-in"": true, ""Delivery"": false}, ""Highlights"": {""Fast service"": true, ""Great cocktails"": true, ""Great coffee"": true, ""Great dessert"": true, ""Great tea selection"": true}, ""Popular for"": {""Breakfast"": true, ""Lunch"": true, ""Dinner"": true, ""Solo dining"": true}, ""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true, ""Wheelchair accessible restroom"": true, ""Wheelchair accessible seating"": true}, ""Offerings"": {""Alcohol"": true, ""Beer"": true, ""Cocktails"": true, ""Coffee"": true, ""Comfort food"": true, ""Hard liquor"": true, ""Healthy options"": true, ""Quick bite"": true, ""Small plates"": true, ""Vegan options"": true, ""Vegetarian options"": true, ""Wine"": true}, ""Dining options"": {""Breakfast"": true, ""Brunch"": true, ""Lunch"": true, ""Dinner"": true, ""Catering"": true, ""Counter service"": true, ""Dessert"": true, ""Seating"": true}, ""Amenities"": {""Bar onsite"": true, ""Restroom"": true, ""Wi-Fi"": true}, ""Atmosphere"": {""Casual"": true, ""Cozy"": true, ""Trendy"": true}, ""Crowd"": {""Family-friendly"": true, ""Groups"": true, ""Locals"": true, ""Tourists"": true}, ""Planning"": {""Accepts reservations"": false}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}, ""Children"": {""Good for kids"": true, ""High chairs"": true, ""Kids' menu"": true}, ""Parking"": {""Free parking lot"": true, ""Free street parking"": true, ""On-site parking"": true, ""Parking"": true}, ""Pets"": {""Dogs allowed outside"": true}}",$$,,TRUE,Pressed Cafe,,,,
MJ-LEAD-SalemNHRestaurant-Oct25-008,Ayasofia Mediterranean Restaurant,http://www.gokalinh.com/,Mediterranean restaurant,+1 603-458-1485,"82 E Broadway, Salem, NH 03079",4.3,230,27,5,10,22,166,146,"{""Monday"": ""3-10PM"", ""Tuesday"": ""3-10PM"", ""Wednesday"": ""3-10PM"", ""Thursday"": ""3-10PM"", ""Friday"": ""1PM-12AM"", ""Saturday"": ""1PM-12AM"", ""Sunday"": ""1-9PM""}",OPERATIONAL,"{""Service options"": {""Curbside pickup"": true, ""No-contact delivery"": true, ""Delivery"": true, ""Takeout"": true, ""Dine-in"": true}, ""Highlights"": {""Fast service"": true}, ""Popular for"": {""Lunch"": true, ""Dinner"": true, ""Solo dining"": true}, ""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true, ""Wheelchair accessible restroom"": true, ""Wheelchair accessible seating"": true}, ""Offerings"": {""Alcohol"": true, ""Beer"": true, ""Cocktails"": true, ""Coffee"": true, ""Comfort food"": true, ""Halal food"": true, ""Hard liquor"": true, ""Healthy options"": true, ""Quick bite"": true, ""Small plates"": true, ""Vegan options"": true, ""Vegetarian options"": true, ""Wine"": true}, ""Dining options"": {""Lunch"": true, ""Dinner"": true, ""Dessert"": true, ""Seating"": true, ""Table service"": true}, ""Amenities"": {""Bar onsite"": true, ""Restroom"": true}, ""Atmosphere"": {""Casual"": true, ""Cozy"": true}, ""Crowd"": {""Groups"": true, ""Tourists"": true}, ""Planning"": {""Accepts reservations"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}, ""Children"": {""Good for kids"": true, ""High chairs"": true, ""Kids' menu"": true}, ""Parking"": {""Free parking lot"": true, ""Free street parking"": true, ""Parking"": true}}",$$,,TRUE,Ayasofia Mediterranean Restaurant,,"https://www.google.com/viewer/chooseprovider?mid=/g/11mvw2mz5m&g2lbs=AO8LyOIiGUL7luXKFeJfZ8CRqzYqeLbQy2xum7vShzjcFpn269IQplRRdmZnyq-dB22By8XIujKrq6cNwqRdi-dViWTx8ObCv0l_OTBGrAhJETdatp0dmfdaN2ujDh4uTQp-A6WbBFJ9&hl=en-US&gl=us&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=KKDyaIjDGo6O1fIP-KPCoQ4&ei=KKDyaIjDGo6O1fIP-KPCoQ4&fo_s=OA,SOE&opi=79508299&ebb=1&cs=0&foub=mcpp",,
MJ-LEAD-SalemNHRestaurant-Oct25-009,Yang Ming,http://www.yangmingnh.com/,Asian restaurant,+1 603-898-2888,"341 S Broadway, Salem, NH 03079",4.3,830,59,24,46,162,539,315,"{""Monday"": ""11:30AM-9:30PM"", ""Tuesday"": ""11:30AM-9:30PM"", ""Wednesday"": ""11:30AM-9:30PM"", ""Thursday"": ""11:30AM-9:30PM"", ""Friday"": ""11:30AM-10:30PM"", ""Saturday"": ""11:30AM-10:30PM"", ""Sunday"": ""12:30-9:30PM""}",OPERATIONAL,"{""Service options"": {""Takeout"": true, ""Dine-in"": true}, ""Highlights"": {""Fast service"": true, ""Great beer selection"": true, ""Great cocktails"": true, ""Great tea selection"": true, ""Serves local specialty"": true}, ""Popular for"": {""Lunch"": true, ""Dinner"": true, ""Solo dining"": true}, ""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true, ""Wheelchair accessible restroom"": true, ""Wheelchair accessible seating"": true}, ""Offerings"": {""Alcohol"": true, ""Beer"": true, ""Cocktails"": true, ""Coffee"": true, ""Comfort food"": true, ""Happy hour drinks"": true, ""Hard liquor"": true, ""Healthy options"": true, ""Late-night food"": true, ""Quick bite"": true, ""Small plates"": true, ""Vegetarian options"": true, ""Wine"": true}, ""Dining options"": {""Lunch"": true, ""Dinner"": true, ""Catering"": true, ""Dessert"": true, ""Seating"": true, ""Table service"": true}, ""Amenities"": {""Bar onsite"": true, ""Restroom"": true}, ""Atmosphere"": {""Casual"": true, ""Cozy"": true, ""Trendy"": true}, ""Crowd"": {""College students"": true, ""Family-friendly"": true, ""Groups"": true, ""Tourists"": true}, ""Planning"": {""Accepts reservations"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}, ""Children"": {""Good for kids"": true, ""High chairs"": true}, ""Parking"": {""Free parking lot"": true, ""Free street parking"": true, ""Parking"": true}}",$$,"Low-key, enduring bar/eatery in a strip mall preparing sushi & other Japanese & Chinese specialties.",TRUE,Yang Ming,,"https://www.google.com/viewer/chooseprovider?mid=/g/1w6r990w&g2lbs=AO8LyOLsaMr_6P27DmbQyznIBWybp44goZJsDKdEp2Q7SP8SUIMGyu3HWJsyOuFZ8bPGxvsGqRP4ggPyuIXLRkh2XxRm1MIxDk42OtvOOJ26dmprx1-2b16YnZWOYCvlHzsx0QAYgsJJ&hl=en-US&gl=us&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=KKDyaIjDGo6O1fIP-KPCoQ4&ei=KKDyaIjDGo6O1fIP-KPCoQ4&fo_s=OA,SOE&opi=79508299&ebb=1&cs=0&foub=mcpp",,
MJ-LEAD-SalemNHRestaurant-Oct25-010,Tuscan Market at Tuscan Village Salem,https://tuscanbrands.com/tuscan-market-salem/,Restaurant,+1 603-912-5467,"9 Via Toscana, Salem, NH 03079",4.1,2366,224,148,190,391,1413,1586,"{""Monday"": ""8AM-9PM"", ""Tuesday"": ""8AM-9PM"", ""Wednesday"": ""8AM-9PM"", ""Thursday"": ""8AM-9PM"", ""Friday"": ""8AM-10PM"", ""Saturday"": ""8AM-10PM"", ""Sunday"": ""8AM-9PM""}",OPERATIONAL,"{""Service options"": {""Outdoor seating"": true, ""Curbside pickup"": true, ""Delivery"": true, ""Onsite services"": true, ""Takeout"": true, ""Dine-in"": true}, ""Highlights"": {""Fast service"": true, ""Great beer selection"": true, ""Great cocktails"": true, ""Great coffee"": true, ""Great dessert"": true, ""Great tea selection"": true, ""Great wine list"": true, ""Serves local specialty"": true}, ""Popular for"": {""Breakfast"": true, ""Lunch"": true, ""Dinner"": true, ""Solo dining"": true}, ""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true, ""Wheelchair accessible restroom"": true, ""Wheelchair accessible seating"": true}, ""Offerings"": {""Alcohol"": true, ""Beer"": true, ""Cocktails"": true, ""Coffee"": true, ""Comfort food"": true, ""Happy hour drinks"": true, ""Hard liquor"": true, ""Healthy options"": true, ""Late-night food"": true, ""Quick bite"": true, ""Small plates"": true, ""Vegetarian options"": true, ""Wine"": true}, ""Dining options"": {""Breakfast"": true, ""Brunch"": true, ""Lunch"": true, ""Dinner"": true, ""Catering"": true, ""Dessert"": true, ""Seating"": true, ""Table service"": true}, ""Amenities"": {""Bar onsite"": true, ""Restroom"": true}, ""Atmosphere"": {""Casual"": true, ""Cozy"": true, ""Trendy"": true}, ""Crowd"": {""Groups"": true, ""Tourists"": true}, ""Planning"": {""Brunch reservations recommended"": true, ""Dinner reservations recommended"": true, ""Accepts reservations"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}, ""Children"": {""Good for kids"": true, ""Has changing table(s)"": true, ""High chairs"": true, ""Kids' menu"": true}, ""Parking"": {""Free parking lot"": true, ""Free street parking"": true, ""Parking"": true}, ""Pets"": {""Dogs allowed outside"": true}}",$$,"Italian grocer with products such as imported meats & cheeses, plus prepared cafe fare & desserts.",TRUE,Tuscan Market at Tuscan Village Salem,"https://www.opentable.com/restaurant/profile/48268?ref=1068, https://party-request.tripleseat.com/venues/NzzN7I4r/?rwg_token=ACgRB3cazq7FITQCVDVLnT5pIwVSz7qHuHsXi3GKhbV50h2oDmHgUrPhdiOqoo-JHvDzrsn9wvELQWYyDYdyK0iEtaEetd5hTg%3D%3D",https://www.opentable.com/restaurant/profile/48268?ref=1068,,"https://www.opentable.com/restaurant/profile/48268?ref=1068, https://party-request.tripleseat.com/venues/NzzN7I4r/?rwg_token=ACgRB3cazq7FITQCVDVLnT5pIwVSz7qHuHsXi3GKhbV50h2oDmHgUrPhdiOqoo-JHvDzrsn9wvELQWYyDYdyK0iEtaEetd5hTg%3D%3D"
