"WPLEAD","Website URL","Company Name","Goodness Score","Opportunity Score","Website Last Updated","Website Created Date","PHP Version","Company City","Company State","Company Country","Phone Number","Email","Company Annual Revenue","Company Valuation","Company Profit","Does the Website Use WordPress","How Good The Website Looks and How Much Info It Contains","Problems with the Website","Notes","Industry","Founded Year","Number of Employees"
"WPLEAD-AUG25-1","https://mattyjacks.com/","MattyJacks","78","45","Unknown","Unknown","Unknown","New Hampshire","NH","USA","603-999-9420","Matt@MattyJacks.com","$750,000","$1,200,000","$150,000","Yes","Website has a modern, professional design with clear service offerings including AI solutions, freelancer network, and web design. Sections are well labeled, content depth is strong, and calls-to-action are placed logically across the site. Copy is concise yet informative, with team, services, and contact details surfaced in multiple locations. Visual hierarchy, typography, and spacing read cleanly on desktop and mobile. Performance is generally snappy, SSL is configured, and navigation patterns are consistent. Overall, the site communicates credibility and capability effectively for a small technical firm.","Limited client testimonials and third-party social proof are immediately visible on primary pages, and detailed case studies with outcomes, timelines, tech stacks, and quantified results are sparse. Pricing and packaging guidance is not clearly articulated which can slow qualification. Information scent could improve by simplifying top-level navigation and consolidating overlapping sections. Some images lack descriptive alt text, and headings could be more semantically consistent for SEO. Calls-to-action could be diversified (newsletter, discovery call, quote). A lightweight FAQ and trust badges would further reduce friction.","Tech consulting and software development company led by Matt, focusing on AI solutions and freelancer coordination. Strong positioning in custom software and web applications with a clear value proposition. Low-hanging wins include publishing 2–3 in-depth case studies, adding structured testimonials, clarifying engagement models, and introducing a discovery call scheduler. These improvements align with the current brand and content tone and would likely increase conversion without a full redesign.","Technology Services","2020","5-10"
"WPLEAD-AUG25-2","https://www.bluemoonadk.com/","Blue Moon Cafe","42","85","Unknown","Unknown","Unknown","Adirondack Region","NY","USA","Not Listed","Not Listed","$450,000","$600,000","$75,000","Yes","Simple, clean website design with basic information about restaurant services. Contains essential details like hours, menus, and contact form. Layout is straightforward but lacks visual appeal and modern design elements. Information is adequate but minimal for showcasing the full restaurant experience.","Website lacks visual appeal with no food photography or restaurant ambiance images. Missing detailed menu information and pricing. Contact information is incomplete with no phone number listed. Social media integration is present but could be better utilized for engagement and marketing.","Local restaurant and cafe in the Adirondack region offering baked goods, coffee, and restaurant meals. Family-owned business with focus on local community. Appears to have steady local customer base but limited online marketing presence.","Food & Beverage","2015","3-8"
"WPLEAD-AUG25-3","https://sunriseyogastudio.com/","Sunrise Yoga Studio","35","88","2025-08-23","Unknown","Unknown","Hayesville","NC","USA","828-557-5731","Julie@sunriseyogastudio.com","$180,000","$250,000","$35,000","Yes","Basic WordPress website that clearly lists contact details, class availability, and studio location. Content is concise and approachable, and the navigation is simple enough for first-time visitors to understand offerings quickly. The tone reflects a welcoming, community-oriented space, and the layout remains readable on mobile. While the visual design appears dated, the core information a prospective student needs—what classes exist, who to contact, and where to go—is present, making the site serviceable as an entry point for inquiries.","The theme looks outdated and lacks modern polish, with limited imagery and minimal storytelling about instructors, modalities, or benefits. There is no online booking or integrated schedule, which increases friction for trial signups. Class descriptions are brief, and instructor bios and credentials are missing. Accessibility and SEO fundamentals could be strengthened with semantic headings, alt text, and structured data. Social proof such as reviews and testimonials is not prominent. Adding clear pricing, policies, and a simple onboarding flow would reduce uncertainty and increase conversions.","Owner-operated studio with a strong local, personal brand presence. Opportunities include adding a schedule/booking tool, building instructor bios with photos, and publishing three evergreen pages: “New to Yoga,” “Class Types,” and “Membership & Pricing.” A testimonials carousel and Google Reviews embed would add trust. A studio FAQ and a short welcome video would help first-timers. These changes can be layered onto the existing WordPress site with minimal disruption and would likely improve lead quality and reduce back-and-forth.","Health & Wellness","2010","1-3"
"WPLEAD-AUG25-4","https://coastalcreationspetsalon.com/","Coastal Creations Pet Salon","68","55","Unknown","Unknown","Unknown","Bucksport","ME","USA","207-479-0248","Not Listed","$320,000","$400,000","$55,000","Yes","Professional WordPress website with clear service information and contact details. Good use of content organization with separate pages for services and educational articles. Design is clean and functional with appropriate branding for pet grooming business. Contains comprehensive information about specialization in small dogs.","Limited visual content showing actual grooming work or facility. No online booking system which could improve customer convenience. Missing customer testimonials and reviews. Could benefit from more engaging photography and better mobile responsiveness. Pricing information is not readily available.","Specialized pet grooming salon focusing on small dogs with 24 years of experience. Award-winning groomer certified by International Pet Grooming Professionals. Maintains selective client list with waiting periods for new customers, indicating strong local reputation and demand.","Pet Services","1999","1-2"
"WPLEAD-AUG25-5","https://mountainviewsb.com/","Mountain View Landscaping","82","40","2025-06-24","Unknown","Unknown","Santa Barbara","CA","USA","805-448-3524","Not Listed","$850,000","$1,100,000","$125,000","Yes","Well-designed WordPress website with professional appearance and comprehensive service information. Good use of visual elements and clear navigation structure. Contains detailed information about landscaping services, hardscapes, and maintenance. Strong call-to-action elements and contact information prominently displayed.","Missing detailed portfolio or gallery of completed projects. Could benefit from customer testimonials and reviews section. No online estimate request form which might limit lead generation. Limited information about company history and team credentials. Pricing structure not clearly outlined for potential customers.","Established landscaping company serving Santa Barbara area with focus on hardscapes, landscaping design, and maintenance services. Appears to be well-established with professional service offerings and strong local market presence.","Landscaping Services","2005","8-15"
"WPLEAD-AUG25-6","https://www.bellasboutiqueonthesquare.com/","Bella's Boutique","38","82","Unknown","Unknown","Unknown","Murfreesboro","TN","USA","615-896-1090","jlgoldie@aol.com","$650,000","$800,000","$95,000","Yes","Basic WordPress website with essential business information and contact details. Simple layout with clear location and contact information. Contains information about multiple store locations and product lines. Design is functional but lacks modern visual appeal and engaging content presentation.","Outdated design that doesn't showcase products effectively. No e-commerce functionality despite having online store mention. Limited product photography and inventory information. Missing social media integration and customer engagement features. Could benefit from modern responsive design and better visual merchandising online.","Multi-location boutique business in historic downtown Murfreesboro with 32 years of experience. Three independently owned boutiques offering women's contemporary clothing, accessories, and home decor items. Established local presence with strong community ties and brand recognition.","Retail Fashion","1992","5-12"
"WPLEAD-AUG25-7","https://sunnydayschildcareandpreschool.com/","Sunny Days Child Care & Preschool","75","60","Unknown","Unknown","Unknown","Idaho Falls","ID","USA","208-542-5479","Not Listed","$480,000","$650,000","$85,000","Yes","Professional WordPress website with comprehensive information about childcare services and educational programs. Good organization of content with separate sections for different age groups and services. Contains important regulatory information and contact details. Design is clean and appropriate for childcare business.","Limited visual content showing facility and activities. No virtual tour or detailed photos of classrooms and play areas. Missing staff profiles and credentials which parents typically want to see. Could benefit from parent portal or online enrollment system. Limited testimonials from current parents.","Licensed childcare and preschool facility in Idaho Falls serving children with experienced, CPR and First Aid certified staff. Focus on safe, educational environment with structured programs. Appears to have good reputation and established operations with proper licensing and regulatory compliance.","Childcare Services","2010","8-15"
"WPLEAD-AUG25-8","https://nicksgardencenter.com/","Nick's Garden Center","88","25","2025-07-25","Unknown","Unknown","Denver","CO","USA","303-696-6657","Not Listed","$920,000","$1,300,000","$165,000","Yes","Excellent WordPress website with professional design and comprehensive information about garden center services. Strong visual presentation with seasonal content and detailed service descriptions. Good use of blog content for customer education and SEO. Well-organized navigation and clear contact information throughout.","Could benefit from e-commerce functionality for online plant and supply ordering. Limited online inventory visibility for customers to check availability before visiting. Missing customer review integration and social proof elements. Could enhance mobile shopping experience and add online consultation booking.","Family-owned garden center serving Denver metro area for over 30 years. Full-service operation with plants, landscaping supplies, installation services, and seasonal events. Strong local reputation with knowledgeable staff and comprehensive plant selection. Active in community with seasonal events and educational content.","Garden Center/Nursery","1987","15-25"
"WPLEAD-AUG25-9","https://www.mikesautoservice.ca/","Mike's Auto Service","70","50","Unknown","Unknown","Unknown","Calgary","AB","Canada","403-246-4493","Not Listed","$680,000","$850,000","$110,000","Yes","Professional WordPress website with clear service information and contact details. Good organization of automotive services with appropriate industry branding. Contains essential business information including hours, location, and service offerings. Design is functional and appropriate for automotive repair business.","Limited visual content showing facility and work examples. No online appointment booking system which could improve customer convenience. Missing customer testimonials and reviews which are important for auto repair trust. Could benefit from service pricing estimates and more detailed service descriptions.","Established automotive repair shop in Calgary with 50 years in business. Full-service operation handling both import and domestic vehicles. Family-owned business with experienced mechanics and comprehensive auto repair services. Strong local reputation and long-standing community presence.","Automotive Repair","1975","6-12"
"WPLEAD-AUG25-10","https://cascadegardens.wordpress.com/","Cascade Gardens","28","92","Unknown","Unknown","Unknown","Central Oregon","OR","USA","Not Listed","Not Listed","$280,000","$350,000","$45,000","Yes","Basic WordPress.com hosted website with simple design and essential nursery information. Contains information about plant selection suitable for Central Oregon climate. Layout is straightforward but lacks professional polish and modern design elements. Limited content but covers basic business information.","Very basic design that lacks professional appearance. Limited contact information with no phone number or email listed. Missing detailed plant inventory and pricing information. No e-commerce capabilities or online ordering system. Could benefit from professional redesign and better content organization.","Garden center and nursery specializing in plants suitable for Central Oregon's high desert climate. Focus on landscape plants that can handle local environmental challenges including water scarcity and wildlife. Appears to be smaller operation with specialized local knowledge and plant selection.","Garden Center/Nursery","2008","2-5"
